ko	pathway	ERR1995215_bin.1	ERR1995215_bin.10	ERR1995215_bin.11	ERR1995215_bin.12	ERR1995215_bin.13	ERR1995215_bin.14	ERR1995215_bin.15	ERR1995215_bin.16	ERR1995215_bin.17	ERR1995215_bin.18	ERR1995215_bin.19	ERR1995215_bin.2	ERR1995215_bin.20	ERR1995215_bin.21	ERR1995215_bin.22	ERR1995215_bin.23	ERR1995215_bin.24	ERR1995215_bin.25	ERR1995215_bin.26	ERR1995215_bin.27	ERR1995215_bin.28	ERR1995215_bin.29	ERR1995215_bin.3	ERR1995215_bin.30	ERR1995215_bin.31	ERR1995215_bin.32	ERR1995215_bin.33	ERR1995215_bin.34	ERR1995215_bin.35	ERR1995215_bin.36	ERR1995215_bin.37	ERR1995215_bin.38	ERR1995215_bin.39	ERR1995215_bin.4	ERR1995215_bin.40	ERR1995215_bin.41	ERR1995215_bin.42	ERR1995215_bin.43	ERR1995215_bin.5	ERR1995215_bin.6	ERR1995215_bin.7	ERR1995215_bin.8	ERR1995215_bin.9
ko00010	Glycolysis / Gluconeogenesis	56	59	52	47	51	45	48	52	44	45	45	37	60	62	50	48	56	48	56	46	50	57	57	59	57	54	44	56	58	61	60	57	59	58	50	59	54	55	50	62	59	48	63
ko00020	Citrate cycle (TCA cycle)	39	38	30	37	19	30	33	31	26	36	33	17	34	40	27	33	29	32	30	28	34	36	31	25	36	35	24	34	39	39	44	36	34	35	27	34	36	35	31	40	38	39	34
ko00030	Pentose phosphate pathway	48	48	50	43	40	41	40	52	42	37	43	40	45	56	47	42	50	44	52	41	42	45	43	54	47	37	43	53	50	44	45	46	49	47	48	47	42	47	51	51	47	46	58
ko00040	Pentose and glucuronate interconversions	45	39	24	37	22	27	16	33	34	23	28	21	48	55	43	29	39	32	37	27	39	49	41	51	41	31	39	48	41	41	46	32	30	47	27	46	35	42	35	33	38	46	49
ko00051	Fructose and mannose metabolism	55	40	41	39	28	32	33	45	39	32	35	26	51	58	51	36	47	41	58	43	49	51	46	53	40	39	38	51	51	48	46	45	50	52	42	49	49	50	45	44	50	51	70
ko00052	Galactose metabolism	36	26	27	22	27	19	26	28	29	24	24	20	36	38	34	26	37	30	45	29	27	33	33	36	33	28	29	40	38	34	35	36	35	35	24	34	31	37	36	33	36	33	45
ko00053	Ascorbate and aldarate metabolism	25	20	19	28	16	14	14	17	18	16	17	13	27	30	22	16	24	20	21	16	22	24	22	25	20	19	28	29	25	22	29	25	24	27	20	26	20	26	24	24	27	24	28
ko00061	Fatty acid biosynthesis	26	21	11	13	4	15	27	11	18	11	15	10	25	26	10	15	9	15	10	12	25	15	14	17	11	21	14	24	23	11	26	25	24	10	25	15	22	11	20	26	24	26	27
ko00062	Fatty acid elongation	4	1	2	4	0	3	1	2	4	2	4	1	1	1	1	4	3	4	4	2	1	2	1	2	1	2	1	4	4	1	2	4	4	1	1	2	1	2	3	4	1	1	4
ko00071	Fatty acid degradation	31	14	13	22	11	23	22	16	33	27	30	17	17	31	13	31	15	33	26	26	15	16	15	15	14	15	13	29	30	15	24	31	31	14	29	16	16	16	14	32	16	27	33
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	3	2	2	2	0	1	2	2	2	1	1	0	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3
ko00120	Primary bile acid biosynthesis	3	1	0	3	0	1	1	2	2	0	3	1	1	1	0	2	2	2	3	2	2	0	1	2	2	2	2	1	3	2	1	2	2	2	0	1	1	1	3	3	1	0	2
ko00121	Secondary bile acid biosynthesis	3	0	0	1	0	2	1	1	2	2	2	3	1	3	0	3	1	3	3	3	1	0	0	1	1	1	1	0	3	1	2	3	3	1	2	1	1	1	1	3	1	2	3
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	24	26	22	30	13	22	32	22	20	21	22	16	24	32	20	27	19	20	18	22	24	22	21	21	23	20	22	24	26	21	30	31	28	20	24	20	23	20	22	29	26	33	29
ko00140	Steroid hormone biosynthesis	3	4	3	3	0	3	5	3	3	3	3	2	3	5	3	3	3	3	4	3	4	3	3	3	3	3	3	3	4	3	3	4	4	3	4	3	3	4	4	4	3	4	4
ko00190	Oxidative phosphorylation	3	4	4	5	4	4	6	4	3	4	4	3	2	5	2	4	4	2	4	3	3	2	4	4	5	4	2	2	4	2	5	2	2	4	4	2	2	4	3	4	3	6	3
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
