ko	pathway	ERR1995223_bin.1	ERR1995223_bin.2	ERR1995223_bin.3	ERR1995223_bin.4	ERR1995223_bin.5	ERR1995223_bin.6	ERR1995223_bin.7
ko00010	Glycolysis / Gluconeogenesis	53	77	78	56	53	53	53
ko00020	Citrate cycle (TCA cycle)	35	50	48	37	20	38	30
ko00030	Pentose phosphate pathway	42	70	73	51	46	40	41
ko00040	Pentose and glucuronate interconversions	36	63	62	27	26	39	41
ko00051	Fructose and mannose metabolism	40	83	83	46	40	38	45
ko00052	Galactose metabolism	30	55	55	26	30	31	28
ko00053	Ascorbate and aldarate metabolism	21	38	39	27	20	22	24
ko00061	Fatty acid biosynthesis	25	27	27	25	7	23	22
ko00062	Fatty acid elongation	2	5	5	1	1	1	1
ko00071	Fatty acid degradation	17	34	35	20	11	15	12
ko00073	Cutin, suberine and wax biosynthesis	0	0	1	0	0	0	0
ko00100	Steroid biosynthesis	1	2	3	2	1	1	1
ko00120	Primary bile acid biosynthesis	1	3	3	0	1	1	1
ko00121	Secondary bile acid biosynthesis	0	2	2	2	1	0	1
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	24	37	38	31	14	24	16
ko00140	Steroid hormone biosynthesis	4	3	4	4	3	4	4
ko00190	Oxidative phosphorylation	3	12	12	4	4	5	3
ko00195	Photosynthesis	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	36	41	46	37	18	36	28
ko00230	Purine metabolism	65	113	117	87	57	67	70
ko00232	Caffeine metabolism	0	2	5	1	0	0	0
ko00240	Pyrimidine metabolism	46	71	72	57	49	48	55
ko00250	Alanine, aspartate and glutamate metabolism	51	55	56	49	31	51	45
ko00253	Tetracycline biosynthesis	6	10	10	6	4	6	7
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	67	81	86	62	57	57	51
ko00261	Monobactam biosynthesis	14	19	20	14	13	12	12
ko00270	Cysteine and methionine metabolism	62	76	78	67	47	60	53
ko00280	Valine, leucine and isoleucine degradation	38	59	57	47	14	33	27
ko00281	Geraniol degradation	10	15	15	12	4	8	7
ko00290	Valine, leucine and isoleucine biosynthesis	16	16	16	16	4	16	7
ko00300	Lysine biosynthesis	39	40	41	40	26	40	31
ko00310	Lysine degradation	18	30	29	20	8	16	14
ko00311	Penicillin and cephalosporin biosynthesis	4	5	6	3	5	3	3
ko00330	Arginine and proline metabolism	52	54	58	49	31	45	37
ko00331	Clavulanic acid biosynthesis	3	4	4	2	3	2	2
ko00332	Carbapenem biosynthesis	2	12	13	9	5	4	3
ko00333	Prodigiosin biosynthesis	12	16	15	14	5	12	11
ko00340	Histidine metabolism	25	28	31	25	13	24	12
ko00350	Tyrosine metabolism	23	35	45	27	18	23	20
ko00360	Phenylalanine metabolism	33	38	51	35	21	32	26
ko00361	Chlorocyclohexane and chlorobenzene degradation	12	20	27	13	9	12	12
ko00362	Benzoate degradation	36	72	87	49	23	32	25
ko00363	Bisphenol degradation	1	1	2	1	2	1	2
ko00364	Fluorobenzoate degradation	5	7	10	5	3	4	5
ko00365	Furfural degradation	1	8	8	6	1	2	0
ko00380	Tryptophan metabolism	20	29	33	20	14	19	18
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	44	52	54	46	22	48	39
ko00401	Novobiocin biosynthesis	14	15	15	14	11	13	12
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	2	7	8	4	0	1	3
ko00405	Phenazine biosynthesis	7	13	13	9	4	6	4
ko00410	beta-Alanine metabolism	17	24	27	23	12	18	14
ko00430	Taurine and hypotaurine metabolism	12	16	19	12	6	13	7
ko00440	Phosphonate and phosphinate metabolism	11	18	21	14	11	11	12
ko00450	Selenocompound metabolism	16	25	25	22	12	16	14
ko00460	Cyanoamino acid metabolism	7	11	12	5	5	8	6
ko00470	D-Amino acid metabolism	27	30	33	28	17	27	23
ko00480	Glutathione metabolism	8	26	26	13	6	9	8
ko00500	Starch and sucrose metabolism	34	58	58	19	46	35	17
ko00510	N-Glycan biosynthesis	2	2	2	4	3	4	3
ko00511	Other glycan degradation	2	4	4	0	2	2	4
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	0	0	1	1	1	1	1
ko00514	Other types of O-glycan biosynthesis	1	1	1	1	1	0	0
ko00515	Mannose type O-glycan biosynthesis	0	0	0	0	0	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	76	110	112	93	85	78	89
ko00521	Streptomycin biosynthesis	9	12	13	9	10	8	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	4	14	14	6	3	4	4
ko00523	Polyketide sugar unit biosynthesis	15	24	26	28	13	16	24
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	8	45	40	39	5	4	6
ko00525	Acarbose and validamycin biosynthesis	17	18	25	11	11	14	12
ko00531	Glycosaminoglycan degradation	2	7	7	2	2	2	8
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	19	36	31	29	19	24	22
ko00541	O-Antigen nucleotide sugar biosynthesis	39	54	53	52	39	40	47
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	1	2	1
ko00550	Peptidoglycan biosynthesis	19	20	20	20	19	19	19
ko00552	Teichoic acid biosynthesis	10	13	13	14	10	15	10
ko00561	Glycerolipid metabolism	23	36	33	23	25	25	29
ko00562	Inositol phosphate metabolism	11	23	24	10	16	12	14
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	28	43	42	36	29	29	31
ko00565	Ether lipid metabolism	3	4	5	1	2	2	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	4	4	3	4	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	4	4	5	3	3	5	4
ko00590	Arachidonic acid metabolism	3	7	7	2	0	5	3
ko00591	Linoleic acid metabolism	2	3	3	2	2	2	3
ko00592	alpha-Linolenic acid metabolism	1	3	4	1	0	1	2
ko00600	Sphingolipid metabolism	7	9	10	3	4	6	5
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	0	2	3	0	1	0	0
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	0	1	0	0	0	0
ko00620	Pyruvate metabolism	70	96	98	81	38	70	59
ko00621	Dioxin degradation	6	10	26	8	4	8	3
ko00622	Xylene degradation	14	22	32	16	7	14	8
ko00623	Toluene degradation	16	27	32	12	8	11	11
ko00624	Polycyclic aromatic hydrocarbon degradation	14	18	36	8	6	12	12
ko00625	Chloroalkane and chloroalkene degradation	14	22	26	14	9	15	11
ko00626	Naphthalene degradation	12	14	17	8	5	11	9
ko00627	Aminobenzoate degradation	25	46	61	24	16	17	17
ko00630	Glyoxylate and dicarboxylate metabolism	56	79	78	61	27	47	42
ko00633	Nitrotoluene degradation	12	19	19	15	8	10	11
ko00640	Propanoate metabolism	52	78	72	63	26	51	44
ko00642	Ethylbenzene degradation	8	7	12	5	1	6	4
ko00643	Styrene degradation	5	13	15	10	7	7	6
ko00650	Butanoate metabolism	57	80	84	61	32	64	40
ko00660	C5-Branched dibasic acid metabolism	9	19	21	14	1	10	6
ko00670	One carbon pool by folate	19	22	23	25	9	20	20
ko00680	Methane metabolism	76	120	120	97	65	73	59
ko00710	Carbon fixation in photosynthetic organisms	14	22	23	19	12	14	14
ko00720	Carbon fixation pathways in prokaryotes	70	94	95	75	34	65	54
ko00730	Thiamine metabolism	16	21	23	19	14	17	13
ko00740	Riboflavin metabolism	18	37	36	27	19	20	21
ko00750	Vitamin B6 metabolism	8	17	18	8	7	9	8
ko00760	Nicotinate and nicotinamide metabolism	33	62	59	46	26	32	37
ko00770	Pantothenate and CoA biosynthesis	25	31	31	30	15	25	18
ko00780	Biotin metabolism	16	18	16	17	7	15	11
ko00785	Lipoic acid metabolism	0	6	7	1	0	0	0
ko00790	Folate biosynthesis	28	57	57	52	18	32	27
ko00791	Atrazine degradation	3	6	11	7	3	3	4
ko00830	Retinol metabolism	8	8	8	6	5	8	6
ko00860	Porphyrin metabolism	41	74	74	74	30	39	36
ko00900	Terpenoid backbone biosynthesis	28	31	31	29	18	28	19
ko00901	Indole alkaloid biosynthesis	1	2	5	2	1	1	1
ko00902	Monoterpenoid biosynthesis	4	7	5	4	4	4	5
ko00903	Limonene and pinene degradation	7	11	11	8	6	6	7
ko00904	Diterpenoid biosynthesis	5	0	0	5	0	5	0
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	14	15	14	12	14	12
ko00908	Zeatin biosynthesis	1	2	3	1	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	2	1	0	1	1
