Pathway	ERR1995223_bin.1	ERR1995223_bin.2	ERR1995223_bin.3	ERR1995223_bin.4	ERR1995223_bin.5	ERR1995223_bin.6	ERR1995223_bin.7
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	16	22	22	19	21	16	16
Glycolysis, core module involving three-carbon compounds	8	11	10	10	10	9	8
Gluconeogenesis, oxaloacetate => fructose-6P	10	16	16	14	13	10	9
Pentose phosphate pathway (Pentose phosphate cycle)	7	13	14	10	11	7	8
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	1	5	5	3	3	2	2
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	4	6	6	5	5	4	4
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1	5	5	2	1	2	1
Citrate cycle (TCA cycle, Krebs cycle)	21	30	29	22	10	22	16
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	6	6	6	5	0	6	2
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	15	24	23	17	10	16	14
Glyoxylate cycle	4	6	6	4	0	4	2
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	1	3	4	2	1	1	1
Glucuronate pathway (uronate pathway)	7	8	9	5	4	7	5
Proline biosynthesis, glutamate => proline	3	3	3	3	3	3	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	13	12	13	12
Methionine biosynthesis, aspartate => homoserine => methionine	11	13	13	12	8	11	9
Threonine biosynthesis, aspartate => homoserine => threonine	9	10	10	8	10	9	8
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	6	6	6	6	0	6	1
Serine biosynthesis, glycerate-3P => serine	4	5	5	3	5	2	2
Cysteine biosynthesis, serine => cysteine	4	4	4	4	2	3	3
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	11	12	13	12	5	12	11
Tryptophan biosynthesis, chorismate => tryptophan	11	14	14	13	3	13	7
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	8	9	10	8	7	8	9
Tyrosine biosynthesis, chorismate => HPP => tyrosine	6	7	8	8	7	6	8
Histidine biosynthesis, PRPP => histidine	16	18	18	16	6	16	5
GABA (gamma-Aminobutyrate) shunt	8	8	8	7	3	8	4
Ornithine biosynthesis, glutamate => ornithine	11	11	11	11	6	11	6
Urea cycle	5	5	5	4	3	4	4
Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	4	4	4	3	0	4	1
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5	5	5	5	3	5	3
Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	3	4	4	2	1	2	2
Ectoine biosynthesis, aspartate => ectoine	4	4	4	4	2	3	2
Methionine salvage pathway	9	11	14	11	8	8	8
Methionine degradation	5	5	5	4	5	5	4
Leucine degradation, leucine => acetoacetate + acetyl-CoA	7	13	13	10	3	7	5
Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	0	0	1	0	0	0	0
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	5	4	4	3	4	6	5
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	1	0	2	1	0	1	1
Tyrosine biosynthesis, chorismate => arogenate => tyrosine	5	6	6	6	5	5	6
Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	0	1	0	0	0	0
Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0	0	0	0	0	0	0
Tyrosine degradation, tyrosine => homogentisate	1	3	5	4	1	1	2
Histidine degradation, histidine => N-formiminoglutamate => glutamate	3	3	5	3	2	2	1
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	5	6	6	6	4	6	6
Creatine pathway	1	0	0	1	0	1	0
De novo purine biosynthesis, PRPP + glutamine => IMP	17	17	17	17	7	17	18
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	3	5	5	5	4	4	5
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	3	4	4	4	3	3	4
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	12	13	13	12	5	12	12
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	3	4	4	4	3	3	4
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	0	3	3	3	0	0	1
N-glycan precursor biosynthesis	1	1	1	3	2	3	2
O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	4	9	9	9	3	4	3
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	1	6	7	2	1	4	5
CMP-KDO biosynthesis	2	4	4	4	2	3	3
ADP-L-glycero-D-manno-heptose biosynthesis	4	6	6	6	4	5	4
GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0
Lactosylceramide biosynthesis	0	1	1	1	1	0	0
Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0	0	0	0	0	0	0
N-glycosylation by oligosaccharyltransferase	0	0	0	0	0	0	0
N-glycan precursor trimming	0	0	0	0	0	0	0
N-glycan biosynthesis, high-mannose type	0	0	0	0	0	0	0
N-glycan biosynthesis, complex type	0	0	0	0	0	0	0
Dermatan sulfate degradation	1	3	3	0	1	1	4
Chondroitin sulfate degradation	1	3	3	0	1	1	3
Heparan sulfate degradation	1	4	3	1	1	1	5
Keratan sulfate degradation	0	2	2	0	0	0	2
Pectin degradation	0	1	1	0	0	0	1
Fatty acid biosynthesis, initiation	12	12	12	12	0	12	12
Fatty acid biosynthesis, elongation	12	12	12	12	3	12	12
Fatty acid elongation in mitochondria	1	4	4	0	0	0	0
beta-Oxidation, acyl-CoA synthesis	2	2	2	2	2	1	0
beta-Oxidation	2	13	14	6	0	1	3
Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	3	4	4	4	1	3	2
Triacylglycerol biosynthesis	2	2	2	2	2	2	2
Phosphatidylcholine (PC) biosynthesis, choline => PC	0	0	0	1	0	0	1
Phosphatidylcholine (PC) biosynthesis, PE => PC	1	1	1	1	1	1	1
Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	0	0	0	0	0	0	0
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	2	4	4	3	3	2	3
Ceramide biosynthesis	1	1	1	1	1	1	1
C5 isoprenoid biosynthesis, mevalonate pathway	3	5	5	3	2	3	3
C5 isoprenoid biosynthesis, non-mevalonate pathway	8	9	9	9	8	8	8
beta-Carotene biosynthesis, GGAP => beta-carotene	4	4	4	4	4	4	4
Acylglycerol degradation	1	2	2	0	2	2	2
Sphingosine biosynthesis	1	1	1	1	1	1	1
Sphingosine degradation	2	0	1	0	0	2	0
Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0	0	0	0	0	0	0
Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	0	1	1	1	0	0	0
