ko	pathway	ERR1995224_bin.1	ERR1995224_bin.2	ERR1995224_bin.3	ERR1995224_bin.4	ERR1995224_bin.5	ERR1995224_bin.6	ERR1995224_bin.7	ERR1995224_bin.8	ERR1995224_bin.9
ko00010	Glycolysis / Gluconeogenesis	57	52	52	65	58	66	77	59	60
ko00020	Citrate cycle (TCA cycle)	41	31	34	38	38	37	50	36	45
ko00030	Pentose phosphate pathway	53	37	43	57	46	56	70	46	44
ko00040	Pentose and glucuronate interconversions	51	41	31	46	43	51	63	36	40
ko00051	Fructose and mannose metabolism	56	44	44	57	47	70	83	53	44
ko00052	Galactose metabolism	35	28	31	37	31	48	55	26	33
ko00053	Ascorbate and aldarate metabolism	30	24	19	29	26	30	38	26	29
ko00061	Fatty acid biosynthesis	25	22	25	26	25	10	27	23	26
ko00062	Fatty acid elongation	1	1	1	1	1	2	5	4	2
ko00071	Fatty acid degradation	23	12	23	31	22	19	34	29	24
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	2	1	2	3	2	2	2	2	3
ko00120	Primary bile acid biosynthesis	2	1	0	2	1	1	3	3	1
ko00121	Secondary bile acid biosynthesis	1	1	0	3	1	1	2	2	2
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	33	18	25	32	21	22	37	24	29
ko00140	Steroid hormone biosynthesis	5	4	4	4	5	4	3	4	3
ko00190	Oxidative phosphorylation	6	4	6	5	5	4	12	4	5
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	35	26	26	36	34	32	41	30	38
ko00230	Purine metabolism	78	70	76	86	77	87	113	76	73
ko00232	Caffeine metabolism	0	0	0	0	0	0	2	0	0
ko00240	Pyrimidine metabolism	58	54	54	59	56	59	71	57	53
ko00250	Alanine, aspartate and glutamate metabolism	46	41	36	53	49	46	55	42	47
ko00253	Tetracycline biosynthesis	7	7	6	6	6	4	10	7	7
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	70	51	59	78	73	70	81	60	73
ko00261	Monobactam biosynthesis	14	12	14	18	16	15	19	11	16
ko00270	Cysteine and methionine metabolism	70	52	51	66	61	58	76	62	59
ko00280	Valine, leucine and isoleucine degradation	46	27	36	54	46	28	59	48	48
ko00281	Geraniol degradation	9	7	9	14	9	9	15	13	13
ko00290	Valine, leucine and isoleucine biosynthesis	16	9	9	15	14	10	16	14	16
ko00300	Lysine biosynthesis	41	32	31	41	40	34	40	38	40
ko00310	Lysine degradation	17	14	13	24	19	11	30	20	20
ko00311	Penicillin and cephalosporin biosynthesis	5	2	5	5	4	5	5	2	4
ko00330	Arginine and proline metabolism	41	37	28	52	40	35	54	48	49
ko00331	Clavulanic acid biosynthesis	3	1	1	4	2	2	4	2	2
ko00332	Carbapenem biosynthesis	6	2	2	10	4	7	12	9	6
ko00333	Prodigiosin biosynthesis	15	11	14	16	15	10	16	11	13
ko00340	Histidine metabolism	30	12	18	31	30	17	28	19	26
ko00350	Tyrosine metabolism	29	20	26	32	30	27	35	28	29
ko00360	Phenylalanine metabolism	33	26	30	38	34	31	38	33	35
