ko	pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
ko00010	Glycolysis / Gluconeogenesis	58	63	60	56	62	60	58	57	68	56	64	63	60	52	77	53	57	53	63	55	60	63	61	54	58	59	58	54	58	60	52	62	59
ko00020	Citrate cycle (TCA cycle)	38	37	34	36	38	44	44	39	35	40	40	39	39	35	50	31	36	39	37	37	40	36	38	43	32	36	36	34	37	35	33	38	32
ko00030	Pentose phosphate pathway	45	43	54	53	54	54	53	48	62	48	54	53	54	47	70	56	45	46	46	46	53	51	56	46	50	55	47	45	47	53	56	55	48
ko00040	Pentose and glucuronate interconversions	45	37	37	38	54	55	45	41	53	46	36	46	49	47	60	41	48	47	36	41	46	40	47	35	40	39	47	41	27	36	38	44	52
ko00051	Fructose and mannose metabolism	48	48	50	63	52	61	56	56	69	50	59	55	49	52	83	49	51	45	51	48	55	55	56	45	48	49	56	55	45	59	50	53	56
ko00052	Galactose metabolism	31	33	31	47	37	38	38	30	49	37	47	39	36	36	55	32	33	32	35	28	36	36	38	19	36	40	35	30	31	44	34	38	43
ko00053	Ascorbate and aldarate metabolism	25	23	24	25	31	30	28	28	31	28	23	29	28	29	38	26	25	27	25	25	30	26	31	22	27	26	30	29	21	23	26	26	29
ko00061	Fatty acid biosynthesis	22	25	25	24	26	27	26	25	25	27	23	26	25	25	27	25	15	25	24	25	15	23	25	26	22	25	25	23	24	20	23	22	23
ko00062	Fatty acid elongation	1	1	4	4	4	2	1	1	1	4	2	4	2	2	5	1	1	1	1	1	4	1	2	1	4	4	1	1	1	2	5	1	4
ko00071	Fatty acid degradation	22	15	31	33	34	31	31	22	17	34	17	32	20	16	34	30	15	14	16	16	28	17	19	20	30	32	16	22	15	15	28	13	30
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ko00100	Steroid biosynthesis	3	2	3	2	3	2	2	2	2	2	2	2	2	2	3	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00120	Primary bile acid biosynthesis	2	2	4	2	1	2	2	2	2	1	0	4	2	2	3	2	3	2	1	2	3	2	1	1	3	3	1	1	2	2	3	1	2
ko00121	Secondary bile acid biosynthesis	1	1	3	3	2	3	3	1	1	2	0	3	1	1	2	3	1	1	3	1	3	1	1	2	3	3	1	1	1	1	3	1	3
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	22	25	29	23	23	34	33	34	24	28	26	28	30	23	37	26	24	27	25	27	29	29	29	30	24	31	22	33	27	21	25	26	26
ko00140	Steroid hormone biosynthesis	4	3	4	4	3	5	5	5	4	4	4	4	4	4	3	4	3	4	3	4	4	4	4	3	4	4	4	5	3	3	4	4	4
ko00190	Oxidative phosphorylation	4	4	3	4	2	6	6	6	2	4	4	3	4	2	12	3	2	4	3	3	5	4	4	7	2	4	3	5	2	4	2	4	2
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	36	42	39	36	35	35	35	36	41	36	35	37	36	36	40	35	36	40	37	36	37	35	43	36	35	36	36	35	37	39	37	42	35
ko00230	Purine metabolism	79	76	90	68	85	83	84	81	91	78	82	78	83	79	111	85	70	86	81	73	86	86	93	87	88	95	71	82	76	83	87	90	71
ko00232	Caffeine metabolism	0	0	1	0	1	0	0	0	1	0	1	0	1	3	3	1	0	1	0	3	1	1	1	0	1	1	3	0	0	1	1	1	0
ko00240	Pyrimidine metabolism	56	54	59	46	58	59	61	54	54	53	49	57	54	60	69	48	50	54	56	55	59	57	56	58	52	59	52	55	53	51	53	58	51
ko00250	Alanine, aspartate and glutamate metabolism	50	49	49	48	47	45	44	44	50	49	49	50	50	50	55	44	51	50	45	47	49	47	52	43	50	47	49	43	46	48	48	48	50
ko00253	Tetracycline biosynthesis	6	6	7	7	6	7	7	6	8	6	8	6	8	6	10	6	5	7	6	6	4	6	7	9	8	9	5	6	8	7	7	6	7
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	72	68	76	61	71	75	76	74	72	72	71	71	73	70	84	69	66	70	66	70	72	70	72	73	73	73	69	74	69	69	69	70	75
ko00261	Monobactam biosynthesis	15	15	14	14	13	18	18	17	15	15	11	15	14	15	19	13	14	15	15	15	13	14	12	15	12	17	14	16	15	11	12	11	11
