ko	pathway	ERR1995234_bin.1	ERR1995234_bin.10	ERR1995234_bin.11	ERR1995234_bin.12	ERR1995234_bin.13	ERR1995234_bin.14	ERR1995234_bin.15	ERR1995234_bin.16	ERR1995234_bin.17	ERR1995234_bin.18	ERR1995234_bin.19	ERR1995234_bin.2	ERR1995234_bin.20	ERR1995234_bin.21	ERR1995234_bin.22	ERR1995234_bin.23	ERR1995234_bin.24	ERR1995234_bin.25	ERR1995234_bin.26	ERR1995234_bin.27	ERR1995234_bin.28	ERR1995234_bin.29	ERR1995234_bin.30	ERR1995234_bin.31	ERR1995234_bin.32	ERR1995234_bin.33	ERR1995234_bin.34	ERR1995234_bin.36	ERR1995234_bin.37	ERR1995234_bin.38	ERR1995234_bin.39	ERR1995234_bin.4	ERR1995234_bin.40	ERR1995234_bin.41	ERR1995234_bin.42	ERR1995234_bin.43	ERR1995234_bin.44	ERR1995234_bin.45	ERR1995234_bin.46	ERR1995234_bin.47	ERR1995234_bin.48	ERR1995234_bin.49	ERR1995234_bin.5	ERR1995234_bin.50	ERR1995234_bin.6	ERR1995234_bin.7	ERR1995234_bin.8	ERR1995234_bin.9
ko00010	Glycolysis / Gluconeogenesis	52	51	54	64	60	57	62	51	58	58	48	64	48	54	66	57	54	52	65	66	56	59	62	54	62	56	57	56	50	52	54	57	58	50	48	56	57	58	52	57	59	60	47	52	50	44	60	51
ko00020	Citrate cycle (TCA cycle)	38	35	36	40	37	36	37	39	36	36	28	41	28	31	45	29	20	38	40	39	39	40	37	37	38	41	35	29	33	25	38	38	34	41	34	30	37	36	40	35	32	36	34	27	30	33	41	37
ko00030	Pentose phosphate pathway	46	48	52	49	54	42	45	44	47	45	44	58	35	51	60	51	45	42	58	54	48	49	45	44	51	54	48	40	44	37	52	50	48	47	44	42	43	52	44	49	49	58	42	38	49	41	53	46
ko00040	Pentose and glucuronate interconversions	43	37	45	38	47	32	36	37	57	36	41	45	21	44	51	44	26	53	45	44	46	38	36	46	38	48	43	20	42	22	45	39	47	38	27	20	22	41	43	30	53	46	28	22	36	28	47	31
ko00051	Fructose and mannose metabolism	39	45	65	47	51	44	48	39	61	48	40	55	32	51	75	55	40	55	69	56	50	55	50	46	49	58	56	45	51	37	44	48	49	45	42	43	43	51	44	48	56	66	37	44	46	33	53	47
ko00052	Galactose metabolism	31	35	41	37	37	32	33	31	38	35	31	36	22	35	52	41	30	38	45	39	37	34	33	33	40	36	33	25	35	24	34	34	34	22	34	27	28	35	28	22	39	43	24	24	31	22	32	29
ko00053	Ascorbate and aldarate metabolism	24	27	25	25	30	23	23	19	31	24	26	29	12	28	30	24	20	30	28	31	28	22	25	24	26	27	30	18	23	16	29	23	26	27	17	20	20	26	26	23	28	29	14	19	25	16	28	21
ko00061	Fatty acid biosynthesis	24	26	25	26	26	23	25	15	26	23	20	26	13	25	23	20	7	26	24	25	27	26	24	15	23	25	26	26	20	9	18	15	15	25	19	27	25	16	20	25	23	26	15	22	21	16	25	11
ko00062	Fatty acid elongation	1	2	4	4	2	2	1	2	3	2	2	1	4	4	2	2	1	1	4	1	4	4	1	1	1	1	2	1	1	1	5	2	2	1	4	2	1	0	1	3	4	4	4	1	3	4	1	3
ko00071	Fatty acid degradation	14	31	28	33	24	17	15	15	28	17	13	31	32	18	21	14	11	31	30	17	34	33	16	14	16	23	23	21	10	12	34	30	15	27	32	23	15	13	29	32	30	32	32	10	12	30	23	16
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00100	Steroid biosynthesis	2	2	3	2	2	2	2	2	2	2	1	3	0	2	2	1	1	2	3	2	2	1	3	2	2	2	3	3	3	3	2	2	2	2	1	3	2	2	2	2	2	3	1	1	2	1	2	3
ko00120	Primary bile acid biosynthesis	2	2	3	3	2	2	2	0	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	2	1	1	1	3	1	2	2	1	3	2	2	1	1	2	1	2	2
ko00121	Secondary bile acid biosynthesis	1	3	3	3	3	1	1	0	0	1	1	3	3	0	2	1	1	3	2	1	2	2	3	1	1	1	1	2	1	0	2	2	1	2	3	2	1	1	3	2	3	3	2	0	0	2	1	1
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	26	31	21	29	33	23	28	20	27	24	20	33	18	20	34	19	14	34	28	29	28	28	25	22	27	33	31	20	20	18	32	27	21	28	20	24	28	24	29	31	26	23	21	18	26	22	35	24
ko00140	Steroid hormone biosynthesis	3	5	3	4	5	3	3	4	3	3	3	4	3	3	4	3	3	4	4	4	4	3	3	3	4	5	5	3	3	4	3	3	3	3	3	3	3	3	5	3	4	3	3	3	4	3	5	4
ko00190	Oxidative phosphorylation	4	5	4	4	4	4	4	4	4	4	4	5	4	3	8	2	4	5	3	4	3	4	3	3	4	5	6	4	3	3	4	5	2	7	4	4	2	4	4	2	2	3	4	2	3	4	7	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	38	36	35	36	35	37	42	29	36	35	37	36	26	36	41	37	20	34	37	38	37	37	37	36	41	33	34	14	37	26	35	36	36	35	26	13	37	34	35	37	35	34	26	17	34	35	35	37
ko00230	Purine metabolism	81	79	82	84	80	71	80	59	75	71	70	84	75	82	89	73	59	80	81	90	79	81	70	67	88	78	68	55	79	61	94	90	84	86	75	61	74	80	74	77	71	83	72	56	80	81	76	82
ko00232	Caffeine metabolism	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	3	4	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1
ko00240	Pyrimidine metabolism	48	54	54	55	60	53	54	40	54	53	55	59	45	55	55	48	50	57	51	59	53	53	54	47	56	54	50	44	53	55	62	56	65	58	51	51	51	57	57	59	51	54	49	47	43	45	53	52
ko00250	Alanine, aspartate and glutamate metabolism	49	51	44	46	52	47	47	42	49	46	48	52	33	47	46	47	31	45	49	51	50	46	45	49	48	44	45	19	47	37	51	46	48	48	26	21	49	48	45	50	49	44	31	26	46	39	48	46
ko00253	Tetracycline biosynthesis	8	6	6	7	6	5	5	5	9	6	4	6	6	6	7	7	4	6	6	6	7	6	6	4	5	7	8	6	5	4	6	8	6	9	7	4	9	5	7	8	7	5	6	5	7	5	7	4
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	68	71	73	69	74	65	66	70	68	70	61	78	60	68	75	65	56	68	71	73	72	71	66	66	69	74	73	44	62	58	80	67	67	71	61	45	68	67	72	70	75	65	69	47	71	66	72	71
ko00261	Monobactam biosynthesis	14	16	14	15	16	14	14	14	13	15	14	18	13	14	14	11	13	18	12	15	16	14	14	14	15	18	16	9	12	13	14	14	14	15	13	10	14	11	15	16	11	14	13	4	12	13	16	13
ko00270	Cysteine and methionine metabolism	64	61	62	62	66	65	63	60	66	65	61	69	49	63	70	60	46	70	65	68	68	65	65	67	66	65	56	40	65	51	68	60	70	71	48	39	68	63	64	67	68	62	62	42	64	58	60	63
ko00280	Valine, leucine and isoleucine degradation	39	53	51	54	49	42	39	36	48	41	31	54	39	38	46	38	13	50	52	40	52	56	40	37	38	45	46	39	33	25	52	49	40	52	48	37	40	33	46	58	47	50	46	32	36	53	48	32
ko00281	Geraniol degradation	8	15	13	13	14	7	9	8	11	9	8	14	11	9	12	9	3	13	14	9	13	13	9	7	9	9	10	11	6	6	13	12	10	13	14	11	9	7	11	13	13	13	12	5	7	13	9	7
ko00290	Valine, leucine and isoleucine biosynthesis	16	15	16	16	16	16	16	13	16	16	16	15	9	16	16	8	4	16	16	16	16	16	16	16	16	16	16	2	14	8	16	12	16	13	11	2	16	16	16	16	16	16	10	4	15	14	16	16
ko00300	Lysine biosynthesis	39	41	38	40	40	40	40	38	39	37	37	41	27	41	41	31	25	41	40	41	40	40	38	38	40	40	40	19	38	29	41	38	38	39	36	20	39	38	41	40	40	41	34	19	39	38	40	38
ko00310	Lysine degradation	15	24	22	22	24	19	16	15	22	18	14	23	15	18	26	20	8	22	23	19	24	25	16	15	16	16	17	16	15	12	30	23	17	23	14	15	18	17	20	23	22	22	24	13	17	23	17	18
ko00311	Penicillin and cephalosporin biosynthesis	4	6	6	5	5	5	5	5	4	5	5	6	4	5	4	5	5	5	4	6	3	4	5	4	5	5	6	3	4	4	4	5	5	5	6	3	5	3	5	4	4	4	3	3	3	4	5	5
ko00330	Arginine and proline metabolism	41	43	41	43	43	48	44	39	48	49	38	49	25	44	50	39	31	38	47	52	47	46	42	43	46	34	40	33	38	38	50	41	45	45	29	29	47	42	33	48	43	39	29	37	41	32	46	46
ko00331	Clavulanic acid biosynthesis	3	2	4	2	2	4	4	2	3	3	3	4	2	4	3	2	3	3	3	3	3	3	3	3	3	3	4	2	4	2	3	2	2	1	2	1	3	1	3	2	2	4	1	1	3	2	3	2
