ko	pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
ko00010	Glycolysis / Gluconeogenesis	62	61	55	60	50	60	75	49	62	60	50	64	62	64	60	61	49	59	56	61	56	63	64	61
ko00020	Citrate cycle (TCA cycle)	38	39	38	37	27	39	47	33	38	38	40	38	39	39	37	41	34	43	35	40	34	40	41	37
ko00030	Pentose phosphate pathway	55	52	45	45	36	55	63	41	53	52	48	56	52	60	42	55	43	54	50	50	61	51	56	48
ko00040	Pentose and glucuronate interconversions	44	45	41	50	22	55	60	16	50	45	37	35	47	41	38	54	31	53	30	49	51	38	44	48
ko00051	Fructose and mannose metabolism	55	52	56	50	43	58	73	35	53	51	45	59	52	50	49	59	46	61	48	50	73	48	56	55
ko00052	Galactose metabolism	38	38	29	33	23	38	47	26	31	38	22	50	39	27	33	36	32	38	24	38	49	38	37	35
ko00053	Ascorbate and aldarate metabolism	26	28	26	25	19	29	38	14	28	28	26	25	30	30	23	31	17	29	23	27	30	25	28	29
ko00061	Fatty acid biosynthesis	22	27	25	24	22	26	27	27	25	26	25	23	26	26	25	25	25	24	25	14	27	26	27	26
ko00062	Fatty acid elongation	1	4	1	1	1	1	5	1	2	4	1	2	4	4	1	1	1	1	3	1	1	4	1	4
ko00071	Fatty acid degradation	13	32	22	15	10	31	33	22	17	32	27	17	31	35	15	24	23	31	32	16	31	33	31	31
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	2	3	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
ko00120	Primary bile acid biosynthesis	1	1	1	1	1	2	2	1	1	1	1	0	4	2	2	2	1	1	3	3	3	3	2	3
ko00121	Secondary bile acid biosynthesis	1	2	1	1	0	3	2	1	1	2	2	0	3	2	1	1	0	3	2	1	3	3	3	3
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	27	24	34	26	19	32	38	35	30	22	28	27	27	33	22	33	25	33	31	24	25	29	32	28
ko00140	Steroid hormone biosynthesis	4	3	5	4	3	5	3	5	4	3	3	4	4	3	3	5	4	5	3	3	4	4	4	3
ko00190	Oxidative phosphorylation	4	4	5	3	2	5	12	6	4	3	7	4	3	5	4	5	6	5	2	3	3	4	5	3
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	42	36	35	35	16	35	44	31	37	36	35	36	37	42	43	36	26	34	37	36	37	36	36	37
ko00230	Purine metabolism	89	82	76	75	58	87	105	77	84	81	85	85	77	98	78	80	75	76	77	85	88	86	83	77
ko00232	Caffeine metabolism	1	1	0	0	0	0	4	0	1	1	0	1	0	1	0	0	0	0	1	1	4	1	0	3
ko00240	Pyrimidine metabolism	58	55	53	51	47	61	66	53	53	53	58	48	57	56	52	57	54	59	59	54	48	54	60	59
ko00250	Alanine, aspartate and glutamate metabolism	48	47	43	47	25	53	55	42	50	46	47	49	50	51	48	45	37	46	50	50	50	45	52	47
ko00253	Tetracycline biosynthesis	6	6	6	6	5	7	11	6	8	7	9	9	6	10	6	8	6	8	8	6	8	7	6	7
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	70	65	70	66	45	78	82	69	73	69	71	71	70	78	65	76	57	76	70	69	67	71	79	73
ko00261	Monobactam biosynthesis	11	14	16	15	5	18	19	17	14	14	15	12	15	16	15	17	14	18	16	14	15	15	18	12
ko00270	Cysteine and methionine metabolism	67	64	60	69	40	69	78	58	67	64	69	66	67	72	61	69	51	69	66	74	63	68	66	73
ko00280	Valine, leucine and isoleucine degradation	35	52	47	39	31	54	55	47	43	52	51	40	54	53	39	46	35	52	58	39	54	53	54	53
ko00281	Geraniol degradation	7	13	9	9	5	14	15	8	11	13	13	9	13	14	9	9	9	13	13	8	14	13	14	13
ko00290	Valine, leucine and isoleucine biosynthesis	16	16	16	16	3	16	16	8	16	16	13	16	16	16	16	16	9	16	16	16	16	16	15	16
ko00300	Lysine biosynthesis	40	41	40	40	18	41	41	33	40	41	39	39	40	41	39	41	31	40	40	39	39	40	41	41
ko00310	Lysine degradation	16	21	17	15	13	23	28	21	22	21	23	16	22	27	16	18	14	22	23	16	26	23	23	21
ko00311	Penicillin and cephalosporin biosynthesis	3	4	5	4	3	5	8	5	5	4	5	4	6	5	4	5	5	5	4	6	6	5	5	5
ko00330	Arginine and proline metabolism	44	44	36	43	38	45	53	32	54	42	48	42	46	56	44	42	28	39	48	48	45	44	49	44
ko00331	Clavulanic acid biosynthesis	2	4	4	3	1	3	4	2	3	4	1	3	3	3	3	3	1	3	2	3	3	3	4	4
ko00332	Carbapenem biosynthesis	6	10	8	7	3	9	11	2	6	8	6	7	9	7	2	6	2	9	7	7	10	11	10	10
ko00333	Prodigiosin biosynthesis	11	14	16	11	12	15	15	17	14	14	15	12	15	17	12	14	14	15	16	10	13	14	15	13
ko00340	Histidine metabolism	24	24	28	24	13	30	29	20	23	24	27	24	24	27	25	31	18	29	25	26	23	23	31	24
ko00350	Tyrosine metabolism	26	30	27	23	18	34	41	27	22	30	27	26	25	31	21	31	26	30	28	25	32	23	33	22
ko00360	Phenylalanine metabolism	29	32	30	30	20	36	48	30	29	31	36	31	33	40	28	34	30	35	35	32	33	33	38	35
ko00361	Chlorocyclohexane and chlorobenzene degradation	14	13	14	12	13	15	22	15	13	12	15	14	13	16	11	15	11	16	15	14	16	15	14	15
ko00362	Benzoate degradation	36	54	46	36	22	59	66	43	43	53	54	37	53	71	35	50	40	58	64	43	63	59	59	56
ko00363	Bisphenol degradation	2	1	2	1	1	2	2	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2
ko00364	Fluorobenzoate degradation	5	6	4	6	5	6	8	5	4	5	6	6	5	5	6	6	4	6	5	4	6	5	6	5
ko00365	Furfural degradation	6	5	3	1	0	2	4	4	5	5	3	4	3	7	1	1	1	2	4	5	6	5	2	2
ko00380	Tryptophan metabolism	20	22	20	21	13	25	29	17	23	22	23	21	25	30	20	19	16	23	23	21	22	24	23	24
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	50	47	45	49	24	51	52	38	48	49	46	50	50	48	45	52	35	51	50	45	41	48	52	49
ko00401	Novobiocin biosynthesis	13	15	14	15	10	14	14	14	14	13	15	12	14	15	14	14	13	14	15	14	14	14	14	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	12	4	5	4	1	5	8	5	4	5	7	5	6	6	3	5	5	6	5	4	12	5	4	6
ko00405	Phenazine biosynthesis	10	8	7	9	4	11	13	9	9	8	8	8	10	11	10	11	9	9	10	6	7	11	12	8
ko00410	beta-Alanine metabolism	18	23	18	19	15	25	25	17	21	22	24	19	27	24	16	18	11	22	27	18	24	27	24	22
ko00430	Taurine and hypotaurine metabolism	13	13	11	13	9	12	16	10	13	13	10	12	13	12	11	12	7	12	14	11	13	12	11	12
ko00440	Phosphonate and phosphinate metabolism	13	9	10	12	12	12	19	10	12	11	11	12	12	16	11	11	11	11	20	13	12	12	15	12
ko00450	Selenocompound metabolism	17	18	16	17	11	19	23	18	19	18	20	18	16	23	17	20	12	19	16	17	20	19	19	19
ko00460	Cyanoamino acid metabolism	9	8	6	5	2	9	11	4	9	7	8	7	9	8	7	10	7	10	9	8	9	8	10	9
ko00470	D-Amino acid metabolism	24	24	24	25	15	29	30	26	30	27	31	26	27	33	26	26	23	27	29	30	26	28	30	27
ko00480	Glutathione metabolism	8	8	10	12	9	13	25	8	7	8	13	8	9	12	7	13	10	13	12	12	8	8	12	8
ko00500	Starch and sucrose metabolism	49	50	43	44	29	49	59	36	42	51	16	47	51	22	47	55	40	49	18	48	51	52	46	51
ko00510	N-Glycan biosynthesis	4	2	2	3	3	3	3	2	2	2	2	4	2	2	2	5	4	2	4	2	2	2	3	6
ko00511	Other glycan degradation	4	2	4	3	0	7	3	2	2	3	0	5	2	0	3	7	5	6	0	7	3	2	7	4
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	3	0	1	0	1	3	2	0	0	1	0	3	0	1	0	5	3	1	1	1	0	0	2	3
ko00514	Other types of O-glycan biosynthesis	2	0	1	2	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	2
ko00515	Mannose type O-glycan biosynthesis	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1
ko00520	Amino sugar and nucleotide sugar metabolism	98	93	93	97	68	106	109	87	92	94	78	105	105	88	97	106	98	98	95	92	100	100	108	107
ko00521	Streptomycin biosynthesis	11	11	12	9	10	14	12	13	11	12	11	10	11	13	9	14	12	14	10	11	12	11	14	11
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	14	7	15	6	4	15	14	14	5	6	13	6	6	7	6	6	13	6	6	10	6	5	15	6
ko00523	Polyketide sugar unit biosynthesis	32	22	26	18	23	32	30	31	35	23	18	20	29	30	22	29	31	19	26	26	37	31	28	35
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	6	34	38	40	37	41	42	39	35	34	34	9	39	42	39	41	9	9	40	41	36	35	10	7
ko00525	Acarbose and validamycin biosynthesis	17	15	15	15	12	23	19	15	15	16	12	16	16	15	16	17	14	18	12	16	17	15	16	16
ko00531	Glycosaminoglycan degradation	3	2	9	3	2	10	5	2	1	1	2	3	3	6	4	9	4	10	2	8	7	8	9	3
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00540	Lipopolysaccharide biosynthesis	22	21	32	24	29	35	31	30	22	25	33	22	25	26	20	33	29	31	34	21	25	23	37	25
ko00541	O-Antigen nucleotide sugar biosynthesis	48	46	50	48	43	58	54	49	49	47	42	50	53	53	46	56	54	52	53	46	49	51	57	54
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	20	20	19	20	19	22	19	19	19	20	20	21	22	20	26	24	22	20	20	25	20	21	26	23
ko00552	Teichoic acid biosynthesis	15	16	16	17	12	14	14	12	14	15	12	12	14	13	15	16	12	13	14	15	10	14	16	15
ko00561	Glycerolipid metabolism	30	29	27	28	22	24	33	24	28	30	21	27	30	24	28	27	25	25	26	29	30	29	29	28
ko00562	Inositol phosphate metabolism	16	15	18	17	14	21	23	14	17	16	11	16	17	21	12	22	12	21	13	22	17	17	20	16
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	32	33	36	35	28	35	40	36	34	36	34	30	36	39	35	37	34	36	32	30	32	33	40	32
ko00565	Ether lipid metabolism	3	5	6	4	0	5	4	3	4	4	3	2	4	3	3	4	5	3	2	3	3	3	8	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	4	3	3	5	4	4	4	4	4	3	3	4	3	4	4	4	4	3	3	4	5	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	5	5	3	4	5	4	5	4	5	3	3	5	4	3	4	4	5	3	4	5	4	5	5
ko00590	Arachidonic acid metabolism	3	4	3	2	0	5	7	4	2	3	5	2	4	2	2	3	4	4	3	3	3	3	7	3
ko00591	Linoleic acid metabolism	2	3	2	2	2	2	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	4	2
ko00592	alpha-Linolenic acid metabolism	1	3	1	1	1	1	3	2	1	2	1	2	2	2	1	1	1	1	2	0	2	2	3	2
ko00600	Sphingolipid metabolism	11	5	12	10	4	13	10	8	5	10	4	12	9	4	9	15	12	13	6	11	9	8	14	11
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	1	2	2	0	2	3	1	0	2	0	3	1	0	1	2	3	2	0	3	1	1	2	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
ko00620	Pyruvate metabolism	75	72	77	72	52	76	90	63	72	72	71	75	73	78	70	77	61	71	79	73	70	76	84	74
ko00621	Dioxin degradation	5	5	10	5	4	7	18	10	7	6	10	6	7	9	4	8	6	9	10	8	10	8	7	8
ko00622	Xylene degradation	14	10	17	12	11	18	27	15	13	11	19	14	11	22	9	19	11	19	20	17	18	14	18	14
ko00623	Toluene degradation	17	15	18	14	8	23	26	17	11	14	18	15	17	23	13	21	17	21	20	17	21	14	22	12
ko00624	Polycyclic aromatic hydrocarbon degradation	11	10	13	12	6	15	22	12	11	11	13	11	11	14	10	13	13	13	13	14	12	12	15	9
ko00625	Chloroalkane and chloroalkene degradation	16	13	16	13	12	17	24	13	13	13	15	12	13	16	14	16	14	17	18	16	15	15	15	13
ko00626	Naphthalene degradation	10	9	18	11	7	11	14	19	9	9	9	10	9	11	10	11	20	11	10	11	10	9	11	8
ko00627	Aminobenzoate degradation	29	27	30	25	11	28	52	27	26	27	27	27	26	47	25	26	20	28	36	30	33	31	28	21
ko00630	Glyoxylate and dicarboxylate metabolism	60	60	60	56	32	65	73	54	59	62	60	61	62	72	57	69	55	69	69	55	66	61	70	60
ko00633	Nitrotoluene degradation	11	12	14	12	9	15	18	14	12	11	15	11	10	17	12	13	12	12	16	15	12	13	16	11
ko00640	Propanoate metabolism	54	63	61	56	49	65	67	56	60	62	57	57	64	65	55	62	49	67	71	59	65	66	69	62
ko00642	Ethylbenzene degradation	4	4	5	4	3	5	10	5	5	4	6	5	5	8	4	6	4	6	5	3	6	4	5	6
ko00643	Styrene degradation	7	6	8	5	8	10	11	9	9	6	9	5	6	10	4	8	5	7	15	10	11	9	9	8
ko00650	Butanoate metabolism	54	57	56	53	38	72	76	56	61	59	68	57	61	66	56	62	45	63	70	60	74	64	68	58
ko00660	C5-Branched dibasic acid metabolism	9	13	11	11	3	11	18	8	10	12	12	11	15	14	10	14	9	13	20	10	18	11	10	11
ko00670	One carbon pool by folate	24	19	18	19	14	28	20	27	24	19	22	23	21	17	16	28	24	27	20	15	22	21	27	22
ko00680	Methane metabolism	84	81	83	87	54	93	118	81	89	79	88	88	85	116	78	92	74	96	96	85	88	87	93	90
ko00710	Carbon fixation in photosynthetic organisms	16	17	16	14	11	18	22	16	15	15	15	15	16	18	14	17	15	18	16	14	13	16	16	16
ko00720	Carbon fixation pathways in prokaryotes	70	73	68	70	52	78	89	71	75	72	74	71	75	84	71	80	66	84	76	67	73	75	81	71
