Pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	19	21	20	18	16	21	21	18	18	20	14	18	19	22	18	22	16	22	20	17	18	18	23	19
Glycolysis, core module involving three-carbon compounds	10	11	9	10	10	10	10	10	10	11	8	10	10	11	10	10	8	10	10	9	7	10	10	10
Gluconeogenesis, oxaloacetate => fructose-6P	12	13	12	12	10	13	16	12	12	12	10	12	12	15	12	13	10	13	13	10	10	12	13	13
Pentose phosphate pathway (Pentose phosphate cycle)	12	9	10	9	7	12	13	8	11	9	9	9	11	9	7	13	9	13	9	9	11	10	13	10
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	4	3	2	2	3	5	5	1	4	3	3	3	4	3	1	5	3	5	2	3	4	3	5	4
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	5	4	6	5	3	5	6	5	5	4	4	4	5	4	4	5	4	6	5	4	4	5	5	4
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	4	3	2	2	1	5	5	0	4	3	3	3	4	3	1	5	2	5	2	3	4	3	5	4
Citrate cycle (TCA cycle, Krebs cycle)	22	24	22	21	11	23	29	19	22	23	25	22	23	23	21	25	21	25	21	23	20	24	25	21
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	6	6	5	6	0	6	6	1	6	6	5	6	6	5	6	6	3	6	5	6	5	6	6	6
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	16	18	17	15	11	17	23	18	16	17	20	16	17	18	15	19	18	19	16	17	15	18	19	15
Glyoxylate cycle	4	4	3	4	1	4	6	1	4	3	4	4	4	4	3	4	4	4	5	4	2	4	4	4
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	1	4	2	1	1	3	3	2	1	4	3	1	4	4	1	1	1	2	4	1	4	4	3	4
Glucuronate pathway (uronate pathway)	7	7	6	8	5	6	8	5	8	8	4	7	8	7	7	7	7	6	4	7	6	8	7	8
Proline biosynthesis, glutamate => proline	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	13	6	13	13	13	13	13	13	13	13	13	13	13	12	13	13	13	12	13	13	13
Methionine biosynthesis, aspartate => homoserine => methionine	11	11	11	12	5	11	13	12	12	11	13	11	11	12	12	13	7	12	12	12	11	13	11	13
Threonine biosynthesis, aspartate => homoserine => threonine	10	8	9	9	4	10	10	9	10	8	10	10	9	8	10	10	8	10	8	10	9	10	10	10
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	6	6	6	6	1	6	6	2	6	6	3	6	6	6	6	6	2	6	6	6	6	6	5	6
Serine biosynthesis, glycerate-3P => serine	5	4	3	5	2	5	5	5	5	4	4	5	4	4	5	5	5	5	4	5	3	5	5	5
Cysteine biosynthesis, serine => cysteine	4	4	3	4	2	4	4	3	4	4	4	4	4	4	4	4	2	4	3	4	3	4	4	4
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	12	13	12	12	7	12	12	12	11	12	12	12	11	8	10	12	12	12	12	11	11	11	12	12
Tryptophan biosynthesis, chorismate => tryptophan	14	9	8	14	5	14	14	9	14	13	14	14	14	14	14	14	8	14	14	11	5	14	14	14
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	10	10	8	9	5	9	9	6	10	10	7	10	10	9	8	9	6	9	10	10	10	10	9	10
Tyrosine biosynthesis, chorismate => HPP => tyrosine	8	9	7	7	4	7	7	7	8	8	8	8	8	7	6	7	7	7	8	8	8	8	7	8
Histidine biosynthesis, PRPP => histidine	15	16	16	16	5	18	17	9	15	16	18	16	16	17	16	18	7	18	16	18	14	16	18	16
GABA (gamma-Aminobutyrate) shunt	6	6	5	8	6	8	8	5	8	6	8	7	6	7	7	5	1	5	8	7	7	6	8	6
Ornithine biosynthesis, glutamate => ornithine	12	12	11	11	5	11	11	8	12	12	12	12	12	12	12	11	5	11	12	12	12	12	11	12
Urea cycle	4	5	5	4	1	4	5	5	4	5	4	4	4	5	5	5	4	4	4	4	4	4	5	5
Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	4	4	4	3	0	4	4	1	4	4	3	3	4	4	4	4	2	4	3	3	3	4	4	4
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5	5	5	5	3	5	5	4	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5
Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	2	4	3	2	2	3	4	3	3	4	3	3	4	4	2	3	3	3	3	2	3	4	3	4
Ectoine biosynthesis, aspartate => ectoine	4	4	3	4	4	4	4	3	3	4	3	4	4	5	3	3	2	4	3	3	4	4	4	5
Methionine salvage pathway	11	8	8	10	5	9	14	7	9	8	10	9	10	10	10	9	9	9	10	13	8	10	9	12
Methionine degradation	4	4	5	6	5	5	5	4	4	4	4	5	4	5	6	5	3	5	4	4	5	5	5	5
Leucine degradation, leucine => acetoacetate + acetyl-CoA	9	12	9	8	7	13	13	10	9	12	12	9	12	12	9	11	8	13	13	9	13	12	13	12
Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	5	4	3	5	4	5	3	3	5	4	5	6	4	6	6	4	3	4	4	5	5	4	4	4
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	1	0	2	1	0	2	1	2	1	0	1	1	1	0	0	2	2	2	0	0	1	1	2	0
Tyrosine biosynthesis, chorismate => arogenate => tyrosine	6	6	6	5	3	6	6	6	6	6	6	6	6	6	5	6	5	6	6	6	6	6	6	6
Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyrosine degradation, tyrosine => homogentisate	1	3	3	1	1	3	4	3	1	3	2	2	2	4	1	3	2	3	4	2	4	1	3	1
Histidine degradation, histidine => N-formiminoglutamate => glutamate	3	3	7	2	3	5	5	7	2	3	3	2	2	3	3	7	6	5	3	2	3	1	7	2
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	6	5	5	5	4	6	5	5	6	5	6	4	6	5	4	6	6	6	6	5	5	5	6	5
Creatine pathway	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
