Pathway	ERR1995253_bin.1	ERR1995253_bin.10	ERR1995253_bin.2	ERR1995253_bin.3	ERR1995253_bin.4	ERR1995253_bin.5	ERR1995253_bin.6	ERR1995253_bin.7	ERR1995253_bin.8	ERR1995253_bin.9
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	18	22	13	22	15	18	21	19	16	21
Glycolysis, core module involving three-carbon compounds	10	10	8	11	9	10	10	8	8	10
Gluconeogenesis, oxaloacetate => fructose-6P	13	13	11	16	9	12	13	10	9	13
Pentose phosphate pathway (Pentose phosphate cycle)	10	13	10	13	11	11	11	10	7	12
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	3	5	3	5	4	4	3	2	1	5
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	5	6	5	6	5	5	5	5	4	5
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	2	5	2	5	3	4	4	1	1	5
Citrate cycle (TCA cycle, Krebs cycle)	22	26	26	30	17	22	22	9	16	23
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	5	6	6	6	6	6	6	0	2	6
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	17	20	20	24	11	16	16	9	14	17
Glyoxylate cycle	4	4	5	6	4	4	4	0	2	4
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	2	2	2	3	1	1	4	1	1	3
Glucuronate pathway (uronate pathway)	5	7	4	8	7	9	8	5	5	7
Proline biosynthesis, glutamate => proline	3	3	3	3	3	3	3	3	3	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	13	13	13	13	12	12	13
Methionine biosynthesis, aspartate => homoserine => methionine	12	12	12	13	12	12	12	8	9	11
Threonine biosynthesis, aspartate => homoserine => threonine	8	10	10	10	10	10	10	10	8	10
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	6	6	6	6	6	6	6	1	1	6
Serine biosynthesis, glycerate-3P => serine	3	5	5	5	5	5	5	2	2	5
Cysteine biosynthesis, serine => cysteine	4	4	3	4	4	4	4	3	3	4
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	12	12	12	12	11	11	12	4	12	12
