ko	pathway	ERR1995254_bin.1	ERR1995254_bin.10	ERR1995254_bin.11	ERR1995254_bin.12	ERR1995254_bin.13	ERR1995254_bin.14	ERR1995254_bin.15	ERR1995254_bin.16	ERR1995254_bin.17	ERR1995254_bin.18	ERR1995254_bin.19	ERR1995254_bin.2	ERR1995254_bin.20	ERR1995254_bin.21	ERR1995254_bin.22	ERR1995254_bin.23	ERR1995254_bin.24	ERR1995254_bin.25	ERR1995254_bin.26	ERR1995254_bin.27	ERR1995254_bin.28	ERR1995254_bin.29	ERR1995254_bin.3	ERR1995254_bin.30	ERR1995254_bin.31	ERR1995254_bin.32	ERR1995254_bin.33	ERR1995254_bin.34	ERR1995254_bin.35	ERR1995254_bin.36	ERR1995254_bin.37	ERR1995254_bin.38	ERR1995254_bin.39	ERR1995254_bin.4	ERR1995254_bin.40	ERR1995254_bin.41	ERR1995254_bin.42	ERR1995254_bin.43	ERR1995254_bin.44	ERR1995254_bin.5	ERR1995254_bin.6	ERR1995254_bin.7	ERR1995254_bin.8	ERR1995254_bin.9
ko00010	Glycolysis / Gluconeogenesis	61	60	59	57	59	59	55	56	57	53	57	56	58	56	55	59	58	43	55	56	46	41	54	60	49	47	56	46	52	51	60	60	57	46	55	59	56	59	46	66	54	59	54	59
ko00020	Citrate cycle (TCA cycle)	40	37	42	40	35	37	35	39	38	32	37	25	35	34	38	40	34	35	36	35	29	28	39	39	34	27	38	36	38	39	39	39	36	33	37	37	38	35	17	40	39	34	44	33
ko00030	Pentose phosphate pathway	52	53	54	49	57	40	48	48	50	48	50	45	51	52	47	43	48	37	42	49	42	39	45	47	44	43	45	38	47	45	53	51	43	40	52	48	47	39	36	56	51	52	46	44
ko00040	Pentose and glucuronate interconversions	39	36	51	34	50	46	47	46	38	47	35	38	38	40	40	44	47	24	34	30	29	17	51	43	30	40	42	21	53	39	47	31	31	34	45	26	28	40	18	44	46	37	35	41
ko00051	Fructose and mannose metabolism	49	48	55	43	54	53	54	50	43	52	47	47	46	50	49	50	49	31	48	48	40	35	49	46	42	37	48	34	55	45	56	50	45	37	52	45	43	40	29	52	47	53	45	46
ko00052	Galactose metabolism	32	33	39	34	38	35	35	37	31	37	34	34	38	35	32	35	34	17	31	22	28	24	31	31	31	25	28	26	37	38	36	35	32	27	34	31	30	29	21	38	33	43	19	33
ko00053	Ascorbate and aldarate metabolism	28	25	31	25	29	24	30	28	24	27	26	25	26	27	22	25	26	12	19	23	19	13	27	25	17	24	25	15	31	24	30	24	23	19	29	21	20	25	14	28	27	26	22	22
ko00061	Fatty acid biosynthesis	25	25	24	26	26	21	25	27	25	26	27	8	25	25	11	14	15	14	25	25	11	22	22	20	25	21	25	11	26	26	26	24	23	18	23	24	24	25	5	25	24	26	26	15
ko00062	Fatty acid elongation	1	4	1	4	4	1	2	4	2	1	4	2	4	4	1	1	2	1	1	3	2	1	1	1	1	2	1	2	1	1	4	4	2	4	1	1	1	4	0	5	2	4	1	1
ko00071	Fatty acid degradation	28	25	24	32	33	15	15	34	17	30	31	12	32	19	15	16	15	14	16	32	16	20	30	20	23	13	16	27	31	30	31	31	17	30	24	15	15	24	11	32	16	33	20	15
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	3	3	2	2	2	2	2	2	2	2	2	2	2	3	1	1	2	1	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2
ko00120	Primary bile acid biosynthesis	1	3	1	3	2	1	1	2	2	3	1	2	2	3	1	3	1	1	1	3	2	1	1	2	1	1	2	1	1	1	2	2	2	2	1	2	2	2	0	3	1	3	1	1
ko00121	Secondary bile acid biosynthesis	3	3	3	3	3	1	1	2	1	3	2	1	3	0	1	1	1	0	1	2	1	1	3	1	0	1	1	2	3	3	2	3	1	3	1	1	3	3	0	3	1	3	2	0
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	28	24	34	28	21	23	24	28	28	31	29	13	30	23	19	23	21	15	23	31	18	34	31	23	25	21	27	22	33	33	33	29	25	27	30	28	28	25	14	28	25	28	30	20
ko00140	Steroid hormone biosynthesis	4	4	5	4	3	4	4	4	4	4	4	3	4	3	3	3	3	3	3	3	3	5	5	5	4	3	4	3	4	5	4	4	3	3	5	3	3	4	0	4	4	4	3	3
ko00190	Oxidative phosphorylation	5	3	4	4	3	3	2	3	4	5	3	3	3	2	4	3	2	3	2	2	4	5	5	5	6	4	3	4	5	5	4	2	4	4	4	2	3	2	4	4	4	2	7	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	35	38	33	36	35	34	36	37	39	35	37	20	36	35	36	37	37	28	37	37	29	32	35	35	27	36	37	30	34	34	38	36	37	27	32	37	37	35	18	37	38	35	35	26
