ko	pathway	ERR1995258_bin.1	ERR1995258_bin.10	ERR1995258_bin.11	ERR1995258_bin.12	ERR1995258_bin.2	ERR1995258_bin.3	ERR1995258_bin.4	ERR1995258_bin.5	ERR1995258_bin.6	ERR1995258_bin.7	ERR1995258_bin.8	ERR1995258_bin.9
ko00010	Glycolysis / Gluconeogenesis	62	62	60	66	66	55	76	50	58	65	76	64
ko00020	Citrate cycle (TCA cycle)	43	35	39	38	43	35	50	37	38	41	50	38
ko00030	Pentose phosphate pathway	55	53	55	56	58	49	72	44	52	57	70	55
ko00040	Pentose and glucuronate interconversions	55	50	48	51	55	30	60	35	28	49	61	35
ko00051	Fructose and mannose metabolism	62	68	51	70	71	48	83	45	45	57	83	60
ko00052	Galactose metabolism	38	47	35	49	46	22	53	19	26	37	55	49
ko00053	Ascorbate and aldarate metabolism	31	26	27	30	30	23	38	22	27	29	38	26
ko00061	Fatty acid biosynthesis	27	10	27	14	27	25	27	26	25	26	27	23
ko00062	Fatty acid elongation	2	2	5	2	2	3	5	1	3	1	5	2
ko00071	Fatty acid degradation	31	18	34	18	31	32	33	20	23	31	34	17
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	1	0	0	1	0	0	0	0	0
ko00100	Steroid biosynthesis	2	2	2	3	2	2	3	2	2	3	3	2
ko00120	Primary bile acid biosynthesis	1	1	2	2	2	3	2	1	0	1	3	0
ko00121	Secondary bile acid biosynthesis	3	1	3	1	3	2	2	2	2	3	2	0
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	34	24	25	21	34	31	39	30	31	32	37	27
ko00140	Steroid hormone biosynthesis	5	4	3	4	5	3	4	3	4	4	3	4
ko00190	Oxidative phosphorylation	4	5	4	4	5	2	12	7	4	5	9	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	35	32	35	30	35	37	41	34	37	36	41	36
ko00230	Purine metabolism	80	84	94	83	83	77	114	86	90	84	111	83
