ko	pathway	ERR1995211_bin.1	ERR1995211_bin.10	ERR1995211_bin.11	ERR1995211_bin.12	ERR1995211_bin.13	ERR1995211_bin.14	ERR1995211_bin.15	ERR1995211_bin.16	ERR1995211_bin.17	ERR1995211_bin.18	ERR1995211_bin.19	ERR1995211_bin.2	ERR1995211_bin.20	ERR1995211_bin.21	ERR1995211_bin.22	ERR1995211_bin.23	ERR1995211_bin.24	ERR1995211_bin.25	ERR1995211_bin.26	ERR1995211_bin.27	ERR1995211_bin.28	ERR1995211_bin.29	ERR1995211_bin.3	ERR1995211_bin.30	ERR1995211_bin.31	ERR1995211_bin.32	ERR1995211_bin.4	ERR1995211_bin.5	ERR1995211_bin.6	ERR1995211_bin.7	ERR1995211_bin.8	ERR1995211_bin.9
ko00010	Glycolysis / Gluconeogenesis	62	51	64	40	56	58	50	49	58	49	47	56	48	56	57	61	52	51	51	49	63	55	54	56	59	50	54	57	50	50	50	45
ko00020	Citrate cycle (TCA cycle)	41	40	41	31	32	39	33	39	39	34	34	36	33	39	33	34	34	37	35	37	38	40	39	37	37	25	34	39	35	31	39	33
ko00030	Pentose phosphate pathway	54	44	57	38	47	46	41	48	53	48	43	44	38	49	47	57	45	45	46	42	57	51	48	50	54	32	51	47	42	49	46	40
ko00040	Pentose and glucuronate interconversions	52	30	43	22	38	40	18	46	48	42	27	32	22	30	50	37	43	22	30	51	42	46	44	39	43	21	42	48	28	39	51	27
ko00051	Fructose and mannose metabolism	59	50	55	35	46	46	36	50	52	60	40	43	38	48	55	56	46	41	36	53	54	55	45	47	50	35	39	55	38	53	50	38
ko00052	Galactose metabolism	36	28	36	24	34	33	26	32	30	39	33	33	25	35	38	45	32	26	23	35	34	34	32	39	34	20	29	34	26	37	35	22
ko00053	Ascorbate and aldarate metabolism	29	23	29	13	26	21	17	25	27	23	17	22	13	24	26	20	24	16	17	29	27	27	24	28	28	17	20	25	15	20	28	12
ko00061	Fatty acid biosynthesis	23	26	26	15	23	10	25	26	25	19	19	25	11	24	22	21	11	24	16	24	23	25	24	26	25	22	25	26	15	22	25	14
ko00062	Fatty acid elongation	1	2	1	4	4	1	1	1	2	4	4	4	1	4	1	3	2	1	4	1	4	1	1	2	2	0	4	4	5	2	1	4
ko00071	Fatty acid degradation	31	22	31	28	28	14	22	27	17	28	32	31	12	23	14	16	12	13	32	31	28	14	14	31	33	8	33	33	34	30	23	30
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	3	2	3	2	2	2	2	2	2	2	1	2	2	2	2	0	2	1	1	2	2	2	2	2	3	1	2	3	2	1	2	1
ko00120	Primary bile acid biosynthesis	1	1	1	1	3	2	1	0	1	3	3	2	1	2	1	1	1	1	1	0	3	2	2	2	1	1	0	3	3	1	1	2
ko00121	Secondary bile acid biosynthesis	3	2	3	2	3	1	1	2	1	3	3	3	0	3	1	1	1	3	2	2	3	1	1	3	2	0	2	3	3	3	0	3
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	31	27	30	21	25	21	35	29	30	20	19	30	20	27	23	17	19	25	25	31	26	32	23	31	32	13	22	24	21	20	28	28
ko00140	Steroid hormone biosynthesis	5	3	4	3	4	3	5	4	4	3	3	4	3	4	4	3	3	3	3	4	4	5	4	5	4	2	3	3	3	3	4	3
ko00190	Oxidative phosphorylation	6	7	5	4	2	2	6	6	4	4	4	2	2	2	2	3	2	3	4	4	2	5	4	6	5	0	3	3	2	4	6	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	36	36	36	23	37	37	32	33	38	33	23	37	35	36	35	39	36	37	39	32	34	33	40	36	42	17	28	37	23	30	34	27
ko00230	Purine metabolism	81	79	84	72	87	71	78	71	83	70	73	89	63	82	72	85	80	70	89	74	88	78	86	80	85	53	84	84	73	76	75	74
ko00232	Caffeine metabolism	3	0	0	1	1	0	0	0	1	1	1	1	0	1	3	1	0	0	1	0	1	0	1	0	3	0	1	1	1	1	0	1
ko00240	Pyrimidine metabolism	52	56	59	50	52	52	54	53	51	51	51	53	57	54	51	53	57	51	51	55	57	54	54	55	54	44	53	54	49	51	54	49
ko00250	Alanine, aspartate and glutamate metabolism	53	48	52	34	51	47	44	43	50	39	24	46	46	44	50	49	44	46	45	44	47	42	50	51	51	25	40	47	28	46	45	39
ko00253	Tetracycline biosynthesis	6	10	6	4	7	6	6	5	8	5	7	5	5	6	7	9	6	5	6	6	7	7	9	7	6	5	6	6	4	8	6	6
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	76	64	79	61	75	70	69	63	71	70	57	71	68	71	74	67	60	65	72	68	69	71	68	74	73	45	66	68	68	72	61	61
ko00261	Monobactam biosynthesis	17	14	19	9	11	13	18	14	14	14	12	15	13	15	11	11	12	14	14	18	12	17	14	16	17	6	14	12	12	15	14	13
ko00270	Cysteine and methionine metabolism	69	60	66	50	63	58	60	70	63	62	46	66	58	63	68	61	60	66	63	65	62	67	63	63	66	40	60	64	58	66	66	58
ko00280	Valine, leucine and isoleucine degradation	55	42	54	40	47	32	47	48	42	51	48	53	31	51	33	37	31	37	55	51	49	40	39	54	57	32	52	52	46	45	41	43
ko00281	Geraniol degradation	14	12	14	11	13	6	8	12	11	13	14	13	5	12	9	10	8	8	13	13	13	7	8	15	15	5	14	14	13	14	9	12
ko00290	Valine, leucine and isoleucine biosynthesis	15	10	15	8	15	14	8	15	16	15	11	16	11	16	16	9	16	16	14	16	16	16	16	15	15	4	16	16	11	10	14	11
ko00300	Lysine biosynthesis	41	39	41	22	39	36	33	41	40	37	33	39	37	39	39	36	36	39	38	40	38	39	40	41	40	20	36	38	31	36	40	31
ko00310	Lysine degradation	23	19	23	21	21	16	21	20	22	18	14	20	14	23	18	20	12	17	23	21	21	15	16	24	31	13	20	20	20	22	16	23
ko00311	Penicillin and cephalosporin biosynthesis	6	5	5	3	4	6	5	4	4	5	6	4	5	4	4	5	4	5	4	4	4	5	4	6	5	3	3	5	5	5	4	6
ko00330	Arginine and proline metabolism	48	44	50	23	40	44	32	40	53	34	28	41	36	40	43	45	35	44	36	37	46	36	43	43	47	33	34	40	25	40	38	32
ko00331	Clavulanic acid biosynthesis	4	1	4	1	3	3	2	3	3	4	2	3	2	3	2	1	2	3	2	3	3	3	3	2	3	1	2	4	3	1	3	1
ko00332	Carbapenem biosynthesis	9	8	11	6	8	6	2	10	5	9	4	6	7	7	3	4	3	5	7	8	8	4	6	6	7	3	6	9	6	8	7	7
ko00333	Prodigiosin biosynthesis	14	14	16	9	14	10	17	15	14	12	8	15	12	12	12	12	5	11	8	14	13	13	14	16	15	12	13	15	10	12	14	7
ko00340	Histidine metabolism	27	26	31	19	23	16	20	23	23	24	12	22	15	23	25	24	24	21	18	24	27	28	23	24	31	13	14	23	16	17	23	16
ko00350	Tyrosine metabolism	33	22	33	15	24	23	27	15	22	18	26	24	24	22	26	24	22	18	20	28	22	27	23	30	35	15	27	23	24	25	26	19
ko00360	Phenylalanine metabolism	38	33	38	28	30	29	30	31	28	24	31	34	29	32	32	28	27	26	30	34	34	32	29	35	37	17	33	30	30	30	29	30
ko00361	Chlorocyclohexane and chlorobenzene degradation	14	14	14	8	13	14	15	12	12	12	10	12	15	13	11	12	12	11	9	14	13	15	10	15	16	10	12	15	13	13	12	10
ko00362	Benzoate degradation	55	44	59	47	52	36	44	50	43	49	53	54	35	52	30	32	32	32	56	54	55	41	38	58	59	17	59	58	56	58	45	53
ko00363	Bisphenol degradation	2	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	0	2	1	1	2	1	2
ko00364	Fluorobenzoate degradation	6	5	6	3	5	4	5	5	4	4	4	5	5	4	5	4	4	5	4	6	5	6	5	6	6	3	3	5	4	4	5	3
ko00365	Furfural degradation	2	2	2	5	5	1	4	2	5	3	5	5	2	6	0	4	1	2	5	3	4	1	4	2	2	0	6	6	6	6	1	7
ko00380	Tryptophan metabolism	23	21	23	19	24	19	18	21	23	21	24	26	13	23	20	20	19	18	22	21	25	16	22	22	25	10	25	22	23	20	18	22
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	46	47	51	35	46	44	38	51	48	43	32	50	46	50	48	43	43	48	49	48	43	47	43	44	50	24	42	47	34	35	48	39
ko00401	Novobiocin biosynthesis	21	15	14	13	13	15	14	15	14	14	14	14	14	14	12	12	13	14	16	15	12	14	15	14	22	8	15	13	14	13	15	13
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	6	7	4	3	12	4	5	5	3	1	1	5	5	0	12	2	6	1	7	5	4	4	7	5	5	1	5	5	5	4	5	4
ko00405	Phenazine biosynthesis	9	8	11	7	9	7	9	10	9	8	4	9	7	8	9	6	5	6	6	8	6	9	8	10	10	4	8	8	5	5	10	4
ko00410	beta-Alanine metabolism	25	22	24	13	24	17	17	21	20	19	14	24	15	22	19	19	15	20	21	21	25	15	18	25	21	15	16	20	18	22	18	16
ko00430	Taurine and hypotaurine metabolism	12	7	11	9	12	14	10	10	11	8	9	12	12	13	12	11	8	10	12	13	11	11	12	11	12	9	9	13	10	10	11	11
ko00440	Phosphonate and phosphinate metabolism	15	11	14	10	12	11	10	13	13	9	9	12	13	11	12	10	13	11	10	11	12	12	12	12	13	11	11	11	10	13	13	10
ko00450	Selenocompound metabolism	19	18	19	16	17	14	19	16	19	16	15	18	15	19	18	22	15	17	18	17	17	19	19	17	19	10	15	17	18	19	16	16
ko00460	Cyanoamino acid metabolism	9	6	10	6	7	7	5	7	9	7	8	6	8	7	8	7	7	7	10	7	9	9	7	10	8	2	9	8	6	7	7	8
ko00470	D-Amino acid metabolism	27	27	30	20	26	24	27	22	29	21	20	26	27	27	25	26	21	25	29	25	20	20	26	29	32	14	27	27	23	24	22	28
ko00480	Glutathione metabolism	11	10	12	6	8	10	8	8	7	9	6	6	7	7	7	8	7	9	12	12	8	11	7	11	14	8	8	12	7	10	7	7
ko00500	Starch and sucrose metabolism	42	18	46	32	51	41	36	44	42	48	35	42	38	48	48	49	47	33	33	38	48	49	34	50	40	29	38	50	32	35	46	33
ko00510	N-Glycan biosynthesis	3	2	3	1	3	2	2	3	2	3	2	2	1	2	2	2	3	2	3	2	2	3	2	2	3	2	2	3	1	2	2	1
ko00511	Other glycan degradation	7	0	6	3	5	6	2	6	0	2	2	2	2	2	5	3	2	1	0	3	3	7	2	6	5	0	0	2	0	2	3	0
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	4	1	3	1	2	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	1	2	0	0	1	0	1	0	0
ko00514	Other types of O-glycan biosynthesis	1	1	1	0	1	0	1	1	1	1	0	1	1	2	2	1	2	1	0	1	1	1	1	1	1	1	0	2	0	0	1	0
ko00515	Mannose type O-glycan biosynthesis	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	100	87	109	75	105	90	87	100	92	108	78	97	87	96	99	83	92	81	65	90	90	98	85	99	98	72	92	107	73	84	98	56
ko00521	Streptomycin biosynthesis	14	12	14	10	11	10	13	12	11	11	8	11	10	9	11	9	12	11	6	12	9	13	11	13	13	11	9	11	12	11	12	6
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	14	12	14	6	6	4	15	6	4	3	5	5	13	5	6	5	8	6	8	13	5	6	7	14	14	4	6	6	6	14	7	6
ko00523	Polyketide sugar unit biosynthesis	28	20	33	17	33	28	32	27	29	29	17	33	24	17	30	12	28	29	15	22	17	22	32	29	36	27	22	34	29	24	28	11
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	9	34	10	6	7	34	39	7	35	7	5	41	3	38	9	42	8	35	34	36	2	39	39	41	41	34	5	41	8	5	9	2
ko00525	Acarbose and validamycin biosynthesis	17	13	16	12	16	18	15	16	15	15	11	15	13	15	18	16	11	14	13	18	16	15	16	17	15	11	15	15	13	17	17	11
ko00531	Glycosaminoglycan degradation	10	2	9	2	8	9	2	8	0	2	3	3	2	3	4	1	3	1	2	3	3	9	1	10	6	1	1	7	1	4	4	1
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	32	32	37	20	24	24	28	31	22	22	22	19	23	18	23	19	19	25	18	27	18	34	22	35	30	27	22	23	17	20	31	20
ko00541	O-Antigen nucleotide sugar biosynthesis	54	43	57	38	53	49	49	52	49	53	40	51	47	48	48	35	52	46	28	49	42	49	47	55	56	47	50	56	42	42	53	22
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1
ko00550	Peptidoglycan biosynthesis	23	25	24	20	21	26	19	20	20	21	25	20	20	20	19	21	19	22	20	20	21	23	20	21	22	18	24	21	20	23	21	20
ko00552	Teichoic acid biosynthesis	14	12	14	8	16	16	12	17	14	13	9	16	15	13	11	9	14	14	11	14	12	13	13	14	16	11	12	14	10	15	17	9
ko00561	Glycerolipid metabolism	30	23	27	22	30	30	25	21	27	28	25	29	26	28	28	25	25	22	24	24	30	25	26	25	24	20	25	31	29	27	25	23
ko00562	Inositol phosphate metabolism	23	16	20	14	17	16	14	14	16	16	10	13	8	14	17	15	17	12	11	17	17	20	17	19	19	14	16	14	17	18	14	14
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	40	34	40	34	31	29	36	37	29	35	29	35	37	36	32	25	24	25	34	36	33	35	34	36	39	20	26	36	25	36	36	30
ko00565	Ether lipid metabolism	7	2	8	4	4	2	3	4	4	5	5	4	5	5	3	1	3	1	4	4	4	5	4	5	7	0	2	5	3	2	3	3
ko00571	Lipoarabinomannan (LAM) biosynthesis	5	4	5	4	3	4	4	3	3	5	3	5	4	3	3	3	3	4	4	3	3	4	3	4	3	4	4	4	4	4	4	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	5	5	2	5	3	5	5	4	5	3	4	3	4	4	4	4	3	3	4	4	4	4	5	4	4	3	5	3	3	5	3
ko00590	Arachidonic acid metabolism	6	4	7	2	3	3	4	4	2	4	3	2	2	3	2	2	2	3	3	4	3	3	2	5	7	1	2	4	3	3	4	2
ko00591	Linoleic acid metabolism	4	2	4	2	2	2	2	2	2	3	1	2	2	1	2	1	2	1	1	2	2	2	2	3	4	2	2	3	2	2	2	1
ko00592	alpha-Linolenic acid metabolism	3	1	3	2	2	0	2	1	1	3	2	2	0	1	1	1	0	1	2	1	2	1	1	2	4	1	2	3	2	2	1	2
ko00600	Sphingolipid metabolism	13	4	13	8	10	12	8	13	4	8	9	7	4	7	12	5	7	4	7	7	8	14	6	12	12	3	4	8	7	7	11	8
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	0	3	1	3	3	1	2	0	1	1	1	0	1	1	1	2	0	1	1	1	2	1	3	2	0	1	3	1	1	1	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
ko00620	Pyruvate metabolism	77	69	84	46	67	70	65	65	69	66	65	72	63	70	70	62	66	60	64	73	73	73	71	76	76	52	66	71	68	65	67	55
ko00621	Dioxin degradation	7	8	7	3	7	9	10	7	7	5	5	4	6	6	5	3	7	4	5	10	5	8	5	10	6	4	5	5	7	5	6	4
ko00622	Xylene degradation	16	18	18	6	16	17	15	13	11	12	11	11	13	13	12	9	13	10	11	17	12	16	9	19	18	10	14	14	14	16	15	9
ko00623	Toluene degradation	22	20	22	9	14	15	17	19	11	11	14	13	18	12	12	14	11	11	14	20	15	17	11	22	22	6	17	14	16	15	19	14
ko00624	Polycyclic aromatic hydrocarbon degradation	15	14	15	7	12	12	12	11	11	11	8	12	7	10	12	12	14	11	9	14	11	13	10	15	15	6	10	10	7	13	10	9
ko00625	Chloroalkane and chloroalkene degradation	14	17	15	5	12	16	14	12	13	8	11	10	13	13	13	17	13	12	10	17	11	12	9	15	18	12	14	15	15	14	13	7
ko00626	Naphthalene degradation	11	9	11	3	9	10	19	15	9	6	9	8	6	8	11	12	10	8	7	10	9	9	8	10	12	7	11	10	7	11	18	6
ko00627	Aminobenzoate degradation	28	28	28	24	20	23	27	25	28	25	22	26	21	32	19	20	16	24	28	26	26	25	24	28	30	8	33	22	29	30	22	38
ko00630	Glyoxylate and dicarboxylate metabolism	66	48	69	51	57	55	54	56	59	61	52	58	48	58	55	54	53	49	59	58	60	63	57	65	63	31	59	60	60	57	58	50
