ko	pathway	ERR1995225_bin.1	ERR1995225_bin.10	ERR1995225_bin.11	ERR1995225_bin.12	ERR1995225_bin.13	ERR1995225_bin.14	ERR1995225_bin.15	ERR1995225_bin.16	ERR1995225_bin.17	ERR1995225_bin.18	ERR1995225_bin.19	ERR1995225_bin.2	ERR1995225_bin.20	ERR1995225_bin.21	ERR1995225_bin.22	ERR1995225_bin.23	ERR1995225_bin.24	ERR1995225_bin.25	ERR1995225_bin.26	ERR1995225_bin.27	ERR1995225_bin.28	ERR1995225_bin.29	ERR1995225_bin.3	ERR1995225_bin.30	ERR1995225_bin.31	ERR1995225_bin.32	ERR1995225_bin.33	ERR1995225_bin.34	ERR1995225_bin.35	ERR1995225_bin.36	ERR1995225_bin.37	ERR1995225_bin.4	ERR1995225_bin.5	ERR1995225_bin.6	ERR1995225_bin.7	ERR1995225_bin.8	ERR1995225_bin.9
ko00010	Glycolysis / Gluconeogenesis	58	45	58	57	54	55	64	49	57	64	59	59	51	57	61	60	54	53	53	64	53	64	58	57	48	63	44	54	56	56	59	62	46	58	59	59	48
ko00020	Citrate cycle (TCA cycle)	40	34	34	36	28	38	38	39	37	37	37	39	29	39	36	38	35	36	39	40	31	41	37	37	32	39	27	34	39	32	32	36	33	34	33	35	39
ko00030	Pentose phosphate pathway	45	42	55	44	36	49	51	37	51	53	47	50	46	45	43	55	48	47	45	52	49	56	45	49	38	55	43	48	50	52	50	53	42	60	48	51	52
ko00040	Pentose and glucuronate interconversions	43	27	39	47	19	47	34	29	46	50	26	31	42	41	37	48	46	42	41	38	40	54	26	47	23	35	38	29	36	28	39	44	30	45	47	41	41
ko00051	Fructose and mannose metabolism	44	37	62	51	39	56	44	37	51	56	45	49	43	56	47	53	54	58	45	47	40	61	48	49	38	52	43	43	39	54	48	53	33	66	49	50	49
ko00052	Galactose metabolism	34	24	40	33	24	34	35	17	29	41	31	35	33	30	33	36	36	40	34	41	31	36	36	34	25	33	34	28	31	43	36	39	19	43	34	39	35
ko00053	Ascorbate and aldarate metabolism	23	19	21	24	17	25	26	15	26	29	21	24	27	29	24	29	30	23	21	26	19	29	20	26	14	26	25	24	22	22	27	26	17	28	27	26	26
ko00061	Fatty acid biosynthesis	23	14	21	15	26	26	23	26	24	23	24	24	20	23	25	23	25	25	27	26	24	26	26	25	12	22	20	26	25	22	22	22	10	25	15	25	23
ko00062	Fatty acid elongation	1	4	2	2	1	4	1	1	2	1	1	4	3	1	1	5	2	4	2	4	4	1	2	2	1	1	1	3	2	2	4	1	4	3	2	4	4
ko00071	Fatty acid degradation	16	31	12	16	21	31	16	21	17	15	16	31	18	22	14	30	15	30	32	33	33	31	16	17	25	21	17	31	17	14	30	13	17	16	13	32	27
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	1	2	2	2	2	3	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	3	2	2	2	3	2	2	2	2	2	2	1	3	2	2	2
ko00120	Primary bile acid biosynthesis	0	2	2	2	1	3	1	1	1	1	2	2	1	1	2	3	2	3	0	3	0	2	1	0	1	3	0	1	2	2	3	1	1	2	1	3	3
ko00121	Secondary bile acid biosynthesis	0	2	1	0	2	3	1	3	1	1	1	3	0	1	1	3	1	3	2	3	2	3	1	0	2	1	0	2	1	1	3	1	0	1	1	3	3
