ko	pathway	ERR1995228_bin.1	ERR1995228_bin.10	ERR1995228_bin.11	ERR1995228_bin.12	ERR1995228_bin.13	ERR1995228_bin.14	ERR1995228_bin.15	ERR1995228_bin.16	ERR1995228_bin.2	ERR1995228_bin.3	ERR1995228_bin.4	ERR1995228_bin.5	ERR1995228_bin.6	ERR1995228_bin.7	ERR1995228_bin.8	ERR1995228_bin.9
ko00010	Glycolysis / Gluconeogenesis	62	58	61	55	57	66	42	62	66	54	77	77	56	52	65	63
ko00020	Citrate cycle (TCA cycle)	35	36	44	38	41	38	29	40	38	39	48	50	37	35	38	38
ko00030	Pentose phosphate pathway	57	46	55	45	47	56	46	55	57	48	69	70	46	45	58	55
ko00040	Pentose and glucuronate interconversions	36	28	55	40	42	42	38	56	45	46	57	61	36	20	50	44
ko00051	Fructose and mannose metabolism	61	45	60	57	46	64	42	58	49	45	77	83	53	42	68	55
ko00052	Galactose metabolism	48	32	38	31	36	53	32	38	39	32	50	55	26	24	47	39
ko00053	Ascorbate and aldarate metabolism	28	24	30	29	23	29	26	30	29	27	35	39	26	17	27	26
ko00061	Fatty acid biosynthesis	23	24	27	25	24	22	20	26	25	25	27	27	22	25	23	12
ko00062	Fatty acid elongation	5	1	2	1	1	2	1	1	1	2	5	5	4	3	3	1
ko00071	Fatty acid degradation	30	16	31	22	17	17	15	31	18	16	33	34	29	23	16	12
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ko00100	Steroid biosynthesis	2	1	2	2	2	2	2	3	2	2	4	3	2	3	2	2
ko00120	Primary bile acid biosynthesis	2	2	2	1	1	2	3	1	0	1	2	3	2	0	1	2
ko00121	Secondary bile acid biosynthesis	3	1	3	1	0	1	1	3	0	1	2	2	2	2	1	1
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	29	26	34	32	18	27	24	31	28	26	38	37	27	30	25	27
ko00140	Steroid hormone biosynthesis	4	3	5	5	4	3	3	5	4	4	4	3	4	4	4	4
ko00190	Oxidative phosphorylation	4	2	6	6	4	2	4	5	4	4	12	12	4	4	4	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	38	37	35	35	35	37	33	36	41	40	38	40	30	36	37	42
ko00230	Purine metabolism	93	78	83	83	68	79	75	85	94	88	106	111	77	81	88	90
ko00232	Caffeine metabolism	4	0	0	0	0	3	3	0	1	1	2	3	0	1	4	1
ko00240	Pyrimidine metabolism	60	53	59	56	49	57	55	61	56	55	69	69	57	52	55	58
ko00250	Alanine, aspartate and glutamate metabolism	56	43	45	43	49	50	43	53	51	51	51	55	43	43	52	48
ko00253	Tetracycline biosynthesis	7	7	6	6	6	9	3	7	6	8	11	10	7	5	8	4
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	71	68	77	72	67	74	56	79	71	70	83	84	62	62	75	70
ko00261	Monobactam biosynthesis	12	16	18	17	14	14	14	18	15	14	20	19	11	13	12	11
ko00270	Cysteine and methionine metabolism	69	61	68	61	64	73	58	70	67	69	76	74	62	63	73	67
ko00280	Valine, leucine and isoleucine degradation	49	39	52	48	39	40	30	54	41	42	53	59	45	47	39	32
ko00281	Geraniol degradation	13	8	13	9	9	11	8	14	9	10	15	15	13	11	10	6
ko00290	Valine, leucine and isoleucine biosynthesis	16	16	16	14	15	16	15	16	16	16	16	16	15	16	16	16
ko00300	Lysine biosynthesis	40	39	41	40	40	41	37	41	40	40	41	41	38	40	41	40
ko00310	Lysine degradation	21	15	22	19	17	23	14	25	19	18	28	29	19	19	22	17
ko00311	Penicillin and cephalosporin biosynthesis	5	4	5	4	5	4	5	5	5	5	7	6	2	2	5	4
ko00330	Arginine and proline metabolism	50	42	37	35	48	48	40	52	46	44	59	54	46	39	47	44
