Pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	19	19	22	17	18	22	21	21	21	18	18	20	18	17	22	16	17	17	19	18	18	19	20	16	17	19	19	20	21	18	18	19	17
Glycolysis, core module involving three-carbon compounds	10	10	11	8	10	10	10	10	10	10	10	10	10	10	11	5	9	10	10	10	10	10	10	9	9	10	10	10	10	10	7	10	9
Gluconeogenesis, oxaloacetate => fructose-6P	13	12	13	8	12	13	13	13	13	12	12	13	12	11	16	8	11	11	13	11	12	11	13	12	11	12	13	11	13	12	10	12	12
Pentose phosphate pathway (Pentose phosphate cycle)	6	8	11	11	10	13	12	10	12	9	9	11	10	9	13	11	9	9	9	10	11	11	11	11	10	11	10	9	8	11	12	12	10
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2	1	3	4	3	5	5	2	4	2	3	4	3	3	5	3	3	3	2	3	4	3	3	3	4	3	3	2	1	3	4	4	3
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	4	5	5	5	6	6	6	5	5	4	5	5	5	6	5	4	5	4	5	5	5	5	5	4	5	5	5	4	6	5	5	5
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	3	1	3	3	3	5	5	2	4	2	3	4	3	3	5	3	3	3	1	3	4	4	4	2	4	3	2	2	1	2	3	4	4
Citrate cycle (TCA cycle, Krebs cycle)	22	21	19	22	22	26	26	23	20	24	24	23	23	20	30	18	18	23	20	20	24	21	22	25	19	20	21	20	21	19	19	22	19
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	5	6	5	5	6	6	6	5	5	6	6	6	6	6	6	5	6	6	6	6	6	6	6	5	6	6	6	4	6	5	6	6	6
