ko	pathway	ERR1995241_bin.1	ERR1995241_bin.10	ERR1995241_bin.11	ERR1995241_bin.12	ERR1995241_bin.13	ERR1995241_bin.14	ERR1995241_bin.15	ERR1995241_bin.16	ERR1995241_bin.17	ERR1995241_bin.18	ERR1995241_bin.19	ERR1995241_bin.2	ERR1995241_bin.20	ERR1995241_bin.21	ERR1995241_bin.22	ERR1995241_bin.23	ERR1995241_bin.24	ERR1995241_bin.25	ERR1995241_bin.26	ERR1995241_bin.27	ERR1995241_bin.28	ERR1995241_bin.29	ERR1995241_bin.3	ERR1995241_bin.30	ERR1995241_bin.31	ERR1995241_bin.32	ERR1995241_bin.33	ERR1995241_bin.34	ERR1995241_bin.35	ERR1995241_bin.4	ERR1995241_bin.5	ERR1995241_bin.6	ERR1995241_bin.7	ERR1995241_bin.8	ERR1995241_bin.9
ko00010	Glycolysis / Gluconeogenesis	65	60	52	48	56	60	59	58	77	66	66	65	64	60	61	50	57	54	61	65	50	61	51	57	60	59	62	44	54	63	60	62	58	55	60
ko00020	Citrate cycle (TCA cycle)	37	40	35	40	36	37	38	41	50	39	40	40	41	38	41	33	36	34	43	35	33	39	39	30	37	37	43	38	31	37	39	38	36	35	45
ko00030	Pentose phosphate pathway	57	53	46	44	45	52	48	55	70	53	61	56	56	57	53	54	48	52	55	51	47	54	47	54	49	48	55	39	47	55	47	43	54	44	44
ko00040	Pentose and glucuronate interconversions	53	48	31	36	34	44	44	52	63	35	47	48	44	43	45	38	46	46	55	40	39	56	51	36	26	26	53	37	34	44	31	36	47	29	45
ko00051	Fructose and mannose metabolism	70	56	41	42	44	49	48	55	83	57	72	50	56	65	48	53	49	66	61	47	42	58	53	46	55	45	63	46	40	51	55	48	50	48	50
ko00052	Galactose metabolism	47	36	23	21	36	35	31	38	55	46	45	36	37	47	38	36	34	42	39	39	26	38	36	28	41	34	38	30	36	39	42	33	38	33	34
ko00053	Ascorbate and aldarate metabolism	31	31	23	24	25	30	27	30	38	24	30	26	28	27	29	20	25	25	30	29	23	31	27	26	22	21	30	19	27	26	20	23	29	21	29
ko00061	Fatty acid biosynthesis	24	23	20	25	25	26	25	25	27	25	24	28	27	26	11	21	25	26	27	24	23	26	26	24	25	24	26	21	26	22	25	25	25	26	26
ko00062	Fatty acid elongation	2	4	1	1	4	2	1	1	5	3	4	5	1	4	1	1	2	4	2	1	5	1	1	3	4	1	1	2	2	1	4	1	1	4	2
ko00071	Fatty acid degradation	18	28	26	20	31	24	22	24	34	19	31	34	31	33	14	16	17	30	31	16	31	24	31	25	32	16	31	15	29	13	33	15	16	29	24
