Pathway	ERR1995248_bin.1	ERR1995248_bin.10	ERR1995248_bin.11	ERR1995248_bin.12	ERR1995248_bin.13	ERR1995248_bin.2	ERR1995248_bin.3	ERR1995248_bin.4	ERR1995248_bin.5	ERR1995248_bin.6	ERR1995248_bin.7	ERR1995248_bin.8	ERR1995248_bin.9
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	21	19	22	18	21	21	22	18	20	18	20	20	22
Glycolysis, core module involving three-carbon compounds	10	9	10	7	9	10	11	10	10	10	10	10	10
Gluconeogenesis, oxaloacetate => fructose-6P	13	13	13	8	11	13	16	12	13	13	13	12	13
Pentose phosphate pathway (Pentose phosphate cycle)	10	10	14	9	9	14	13	9	10	10	9	10	13
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2	4	5	3	4	5	5	3	3	3	2	3	5
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	6	4	6	4	2	6	6	4	5	5	5	6	6
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	2	4	5	3	4	5	5	3	2	2	2	4	5
Citrate cycle (TCA cycle, Krebs cycle)	23	20	25	20	22	21	30	22	22	17	21	26	25
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	5	5	6	5	6	6	6	6	5	0	5	6	6
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	18	15	19	15	16	15	24	16	17	17	16	20	19
Glyoxylate cycle	3	4	4	3	4	4	6	4	4	2	5	4	4
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	2	2	2	4	3	4	3	1	1	2	4	2	3
Glucuronate pathway (uronate pathway)	7	7	7	7	7	7	8	7	7	5	4	7	7
Proline biosynthesis, glutamate => proline	3	3	3	3	3	3	3	3	3	3	3	3	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	12	12	13	13	13	13	12	13	12	13
Methionine biosynthesis, aspartate => homoserine => methionine	11	11	12	12	12	12	13	12	10	11	12	12	12
