ko	pathway	ERR1995263_bin.1	ERR1995263_bin.10	ERR1995263_bin.11	ERR1995263_bin.12	ERR1995263_bin.13	ERR1995263_bin.14	ERR1995263_bin.15	ERR1995263_bin.16	ERR1995263_bin.17	ERR1995263_bin.18	ERR1995263_bin.19	ERR1995263_bin.2	ERR1995263_bin.20	ERR1995263_bin.21	ERR1995263_bin.22	ERR1995263_bin.23	ERR1995263_bin.24	ERR1995263_bin.25	ERR1995263_bin.26	ERR1995263_bin.27	ERR1995263_bin.28	ERR1995263_bin.29	ERR1995263_bin.3	ERR1995263_bin.30	ERR1995263_bin.31	ERR1995263_bin.32	ERR1995263_bin.33	ERR1995263_bin.34	ERR1995263_bin.35	ERR1995263_bin.36	ERR1995263_bin.37	ERR1995263_bin.38	ERR1995263_bin.39	ERR1995263_bin.4	ERR1995263_bin.5	ERR1995263_bin.6	ERR1995263_bin.7	ERR1995263_bin.8	ERR1995263_bin.9
ko00010	Glycolysis / Gluconeogenesis	57	55	60	53	59	65	48	63	48	49	63	61	62	60	61	50	56	58	49	61	58	54	57	58	60	61	53	63	46	55	58	57	62	50	51	67	59	59	41
ko00020	Citrate cycle (TCA cycle)	37	38	37	41	39	38	34	41	33	40	41	39	39	33	40	33	39	37	28	37	33	38	36	33	38	32	40	40	33	35	36	40	37	28	34	35	39	34	35
ko00030	Pentose phosphate pathway	45	47	54	48	44	55	44	56	37	41	55	54	53	53	50	41	48	54	47	52	49	45	47	49	47	52	48	50	40	48	53	51	44	44	49	53	55	59	41
ko00040	Pentose and glucuronate interconversions	47	38	49	51	40	45	27	55	22	31	44	54	45	46	37	16	45	51	25	45	47	22	38	53	43	40	49	50	27	30	51	43	37	41	38	49	54	31	24
ko00051	Fructose and mannose metabolism	49	54	57	52	47	53	37	59	36	41	56	57	50	50	46	35	50	69	41	52	49	42	43	54	46	62	53	65	37	48	53	54	48	43	51	56	56	59	38
ko00052	Galactose metabolism	33	31	38	34	34	32	32	36	25	20	37	36	34	34	35	26	33	44	22	37	34	30	37	37	31	46	36	39	23	22	41	32	33	33	32	37	37	32	25
ko00053	Ascorbate and aldarate metabolism	23	27	25	29	21	25	15	29	13	22	28	28	27	25	24	14	28	26	21	27	26	18	28	28	25	22	26	29	11	23	30	28	20	27	20	28	31	25	15
ko00061	Fatty acid biosynthesis	15	25	10	26	11	26	19	26	12	26	26	25	25	14	26	27	25	26	25	26	15	24	26	23	25	7	26	24	14	25	26	26	25	21	23	28	25	27	14
ko00062	Fatty acid elongation	1	1	2	1	1	4	4	1	1	2	1	1	2	1	4	1	1	4	1	4	2	1	2	4	1	2	1	2	4	3	4	1	1	3	1	5	1	2	4
ko00071	Fatty acid degradation	14	22	15	29	14	33	32	31	25	22	31	25	17	11	32	22	24	32	29	32	15	13	31	30	22	19	31	17	30	32	33	24	15	18	16	34	24	18	29
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ko00100	Steroid biosynthesis	2	2	2	2	2	2	1	3	2	2	3	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	3	2	3	2
ko00120	Primary bile acid biosynthesis	1	1	2	1	2	2	3	1	1	1	2	1	1	1	3	0	2	3	1	3	1	1	1	4	2	2	1	1	3	3	1	2	1	1	2	1	2	1	1
ko00121	Secondary bile acid biosynthesis	1	1	1	3	1	2	3	3	2	2	3	1	1	1	3	0	1	3	2	3	1	3	3	3	1	3	3	0	3	2	2	1	1	1	1	2	1	0	2
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	24	33	20	32	19	32	20	32	20	26	32	30	29	21	28	35	35	21	26	21	21	27	30	24	23	20	28	21	26	31	26	31	22	24	19	28	33	34	21
ko00140	Steroid hormone biosynthesis	3	4	3	5	3	3	3	5	3	3	4	5	4	3	4	5	5	3	4	3	3	3	5	4	5	3	4	4	3	3	3	5	3	3	3	3	5	3	3
ko00190	Oxidative phosphorylation	3	6	4	5	2	4	4	6	2	7	5	5	4	5	4	6	6	4	4	3	2	3	5	2	4	4	6	3	4	2	2	6	4	4	4	2	4	5	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	37	41	36	35	38	38	24	37	35	36	36	36	37	30	36	32	37	37	33	36	37	37	36	35	33	29	34	34	25	37	36	36	42	35	30	36	35	37	28
ko00230	Purine metabolism	69	87	86	82	76	88	75	83	64	76	84	86	85	78	82	76	79	84	78	81	84	73	78	72	77	83	72	78	74	77	81	74	74	78	78	74	81	87	78
ko00232	Caffeine metabolism	0	0	1	0	0	1	1	3	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	3	0	1	0	3	1	1	1	0	0	3	1	0	0	1	1
ko00240	Pyrimidine metabolism	50	57	55	59	56	53	52	54	56	51	59	61	53	56	54	54	56	55	59	54	64	51	55	50	55	52	54	52	49	59	55	51	48	60	55	54	57	57	52
ko00250	Alanine, aspartate and glutamate metabolism	50	43	46	45	47	49	26	53	46	47	52	53	50	41	45	44	52	44	48	47	50	46	51	50	50	44	45	47	38	50	46	49	48	48	46	45	46	47	36
ko00253	Tetracycline biosynthesis	5	6	5	7	6	9	7	6	5	10	6	7	8	6	7	6	6	7	7	5	6	7	6	7	6	4	6	7	6	8	8	6	6	4	7	6	7	8	6
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	66	74	78	77	70	72	63	77	67	64	79	77	73	68	71	70	75	71	59	66	67	68	70	74	74	67	64	68	60	70	70	73	63	67	72	69	76	79	62
ko00261	Monobactam biosynthesis	13	17	13	18	13	15	13	17	13	14	18	18	14	14	16	17	17	15	14	14	14	14	15	11	16	11	14	14	12	16	14	15	15	14	13	14	18	17	10
ko00270	Cysteine and methionine metabolism	68	61	66	69	58	69	48	69	58	59	66	69	67	68	65	61	61	63	58	65	70	66	60	70	58	63	68	63	60	66	66	59	57	62	66	64	69	66	50
ko00280	Valine, leucine and isoleucine degradation	39	48	33	52	32	56	48	55	43	41	54	49	42	34	54	47	48	53	53	51	40	38	54	47	48	30	49	41	43	58	51	48	38	35	35	55	46	37	40
ko00281	Geraniol degradation	7	9	9	12	6	15	14	14	10	12	14	11	11	7	13	8	9	14	14	13	10	8	15	14	10	10	13	10	12	13	14	10	9	11	9	15	9	7	12
ko00290	Valine, leucine and isoleucine biosynthesis	16	15	13	16	14	16	11	15	12	10	15	16	16	16	16	8	16	16	8	16	16	16	14	16	14	9	15	15	10	16	16	16	16	16	10	14	16	16	10
ko00300	Lysine biosynthesis	38	40	35	41	36	40	35	41	38	39	41	41	40	37	40	33	40	39	33	41	38	40	41	39	40	33	41	41	30	40	41	40	39	39	35	39	41	41	24
ko00310	Lysine degradation	16	19	22	21	16	23	14	24	19	19	23	20	21	15	21	22	20	21	21	21	17	18	24	21	20	16	21	18	23	23	22	17	16	19	17	23	16	18	21
ko00311	Penicillin and cephalosporin biosynthesis	6	4	5	5	6	4	6	6	5	5	5	5	4	5	5	4	4	5	4	4	5	5	6	4	4	5	5	5	5	4	5	5	4	4	5	4	5	5	4
ko00330	Arginine and proline metabolism	46	37	39	36	44	43	25	51	35	43	49	45	54	41	39	32	44	40	46	43	44	46	42	43	39	35	40	45	33	48	42	42	46	44	38	48	36	50	27
ko00331	Clavulanic acid biosynthesis	3	4	2	3	3	4	1	4	2	1	4	2	3	2	3	2	4	4	2	4	2	3	2	2	2	2	3	1	1	2	4	3	3	2	1	2	3	4	1
ko00332	Carbapenem biosynthesis	5	9	7	9	6	10	4	9	10	7	11	4	6	4	10	2	7	9	8	9	4	5	6	6	4	10	11	3	7	7	8	5	4	4	5	8	6	5	6
ko00333	Prodigiosin biosynthesis	8	17	10	15	10	15	9	15	13	14	16	15	14	9	14	17	15	15	16	14	9	13	15	14	16	5	14	15	8	16	16	14	12	9	12	13	16	14	9
ko00340	Histidine metabolism	24	31	18	29	16	28	12	31	13	26	31	29	23	14	23	20	27	25	14	24	25	23	24	24	26	23	22	24	16	25	24	27	25	27	18	24	30	28	19
ko00350	Tyrosine metabolism	23	28	26	27	22	29	25	34	25	22	33	34	22	20	24	27	33	23	29	30	23	18	30	27	23	26	25	31	17	28	31	30	24	30	24	22	31	22	17
ko00360	Phenylalanine metabolism	30	33	31	33	29	34	31	39	31	33	38	35	29	28	34	30	33	28	34	30	29	27	33	34	33	30	33	31	29	36	30	32	29	30	28	31	34	31	29
ko00361	Chlorocyclohexane and chlorobenzene degradation	12	15	14	14	14	15	11	14	15	13	14	14	13	18	13	15	16	15	11	13	12	11	15	11	15	13	15	14	9	15	12	16	8	13	14	10	14	14	8
ko00362	Benzoate degradation	29	48	44	57	38	62	53	57	50	41	59	51	43	40	56	43	49	54	53	53	39	34	57	48	48	39	57	46	55	60	53	46	34	36	43	54	48	44	51
ko00363	Bisphenol degradation	1	2	1	2	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	2	1	2	2	1	2	1	2	2	1	2	2
ko00364	Fluorobenzoate degradation	4	5	6	6	4	5	4	6	5	4	6	5	5	7	5	5	5	6	3	6	4	5	6	5	5	5	6	6	3	5	6	6	4	5	4	4	6	6	3
ko00365	Furfural degradation	1	4	4	2	1	6	5	2	3	2	2	1	5	2	5	4	3	6	3	5	2	2	2	1	2	4	2	1	7	4	6	4	1	1	4	2	1	6	6
ko00380	Tryptophan metabolism	19	21	19	22	19	23	24	24	17	21	23	23	25	17	25	17	20	21	22	22	20	19	22	24	21	24	22	16	20	22	24	18	21	23	17	22	19	19	20
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	48	46	42	49	44	50	31	54	45	44	52	51	48	46	49	40	46	45	35	47	44	48	44	49	45	43	52	47	38	49	50	45	48	46	26	46	50	50	35
ko00401	Novobiocin biosynthesis	15	14	15	14	15	14	14	21	14	15	14	14	14	15	14	14	15	14	15	14	15	14	12	12	14	12	15	15	13	15	14	15	14	14	13	15	14	14	13
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
