gene 	 KO 	 Evalue
k141_5309_2	K00001	1.7e-25
k141_96868_16	K00001	3.7e-20
k141_36992_5	K00001	3.3e-13
k141_33301_3	K00001	4.9e-07
k141_29186_3	K00003	8.9e-163
k141_57399_2	K00004	5.7e-08
k141_33093_2	K00004	1.8e-06
k141_14095_4	K00005	3.9e-36
k141_96868_16	K00005	7.4e-14
k141_101809_7	K00005	7e-13
k141_5309_2	K00005	2.9e-12
k141_36992_5	K00005	1.6e-11
k141_57399_2	K00008	1.4e-06
k141_33301_3	K00008	2.9e-06
k141_9678_9	K00008	6.4e-06
k141_43248_6	K00010	7.7e-06
k141_28157_16	K00013	1.6e-180
k141_43248_6	K00014	3.1e-10
k141_59785_21	K00014	6.5e-09
k141_37637_1	K00015	6.9e-108
k141_62504_2	K00015	4.9e-50
k141_62504_1	K00015	2.1e-19
k141_23107_2	K00016	1.9e-97
k141_37637_1	K00018	1.1e-79
k141_62504_2	K00018	6.7e-39
k141_62504_1	K00018	7.5e-15
k141_101195_6	K00019	2.1e-62
k141_27941_3	K00019	2.9e-55
k141_37637_1	K00020	4.9e-10
k141_31156_2	K00020	8.8e-08
k141_101195_6	K00023	1.2e-96
k141_27941_3	K00023	1.6e-52
k141_23107_2	K00024	1.9e-78
k141_42715_2	K00027	1.6e-93
k141_42715_3	K00027	2.9e-19
k141_42715_2	K00029	7.3e-56
k141_42715_3	K00029	3.8e-15
k141_69264_2	K00030	1.2e-43
k141_61869_3	K00030	1e-05
k141_69264_2	K00031	3.4e-42
k141_37637_1	K00032	9e-85
k141_62504_2	K00032	2.5e-32
k141_62504_1	K00032	6.6e-07
k141_101195_6	K00034	1.8e-94
k141_27941_3	K00034	9.6e-67
k141_101195_6	K00038	1.2e-73
k141_27941_3	K00038	2.6e-64
k141_101195_6	K00039	1.4e-42
k141_27941_3	K00039	6.3e-29
k141_37637_1	K00042	6e-07
k141_5309_2	K00043	1.3e-67
k141_96868_16	K00043	1.1e-53
k141_36992_5	K00043	1.4e-46
k141_14095_4	K00043	1.2e-06
k141_5309_2	K00048	4.4e-92
k141_96868_16	K00048	1e-42
k141_36992_5	K00048	3.4e-38
k141_37637_1	K00049	2.9e-67
k141_62504_2	K00049	3.5e-20
k141_37637_1	K00050	5.1e-73
k141_62504_2	K00050	5.5e-27
k141_62504_1	K00050	1.1e-10
k141_69264_2	K00052	9.2e-88
k141_61869_3	K00052	3.4e-46
k141_59785_21	K00057	2.8e-08
k141_33093_2	K00057	2.6e-06
k141_37637_1	K00058	3.1e-106
k141_62504_2	K00058	1.8e-72
k141_62504_1	K00058	1.7e-31
k141_101195_6	K00059	5e-114
k141_27941_3	K00059	1.3e-77
k141_100603_6	K00059	3.2e-09
k141_94616_1	K00059	3.5e-07
k141_33301_3	K00060	3.2e-06
k141_57399_2	K00060	7.1e-06
k141_76887_2	K00064	4.1e-29
k141_98314_4	K00064	1e-21
k141_101195_6	K00065	1.7e-89
k141_27941_3	K00065	1.6e-68
k141_59785_21	K00065	1.3e-06
k141_8308_2	K00067	8.1e-37
k141_77416_5	K00067	2.6e-35
k141_100603_6	K00067	2.4e-28
k141_52516_1	K00067	3.5e-16
k141_101195_6	K00068	1.4e-65
k141_27941_3	K00068	1.4e-45
k141_85356_13	K00075	1.8e-113
k141_59769_4	K00075	9.9e-09
k141_100457_5	K00077	6.5e-08
k141_101195_6	K00079	3.9e-13
k141_27941_3	K00079	6.1e-10
k141_95281_2	K00082	4.5e-43
k141_101195_6	K00084	3.1e-14
k141_27941_3	K00084	9.7e-12
k141_5309_2	K00086	9.4e-99
k141_96868_16	K00086	2e-65
k141_36992_5	K00086	9.1e-52
k141_72742_12	K00088	1.4e-163
k141_10223_11	K00088	1.5e-100
k141_10223_10	K00088	5.4e-31
k141_27002_6	K00088	9.7e-21
k141_92837_5	K00088	2.6e-13
k141_76667_6	K00088	9.3e-13
k141_72665_1	K00088	7.1e-12
k141_36995_2	K00088	1e-10
k141_83458_3	K00088	1.3e-09
k141_101195_9	K00088	1.1e-07
k141_51263_9	K00088	9.9e-07
k141_90272_1	K00088	1.2e-06
k141_28157_23	K00088	9.7e-06
k141_37637_1	K00090	9.5e-101
k141_62504_2	K00090	8.3e-35
k141_62504_1	K00090	2.8e-11
k141_5309_2	K00093	1.6e-62
k141_96868_16	K00093	1.2e-29
k141_36992_5	K00093	3e-26
k141_14095_4	K00096	2.6e-90
k141_101809_7	K00096	9.7e-23
k141_5309_2	K00096	3.8e-10
k141_96868_16	K00096	8.3e-10
k141_36992_5	K00096	4.3e-08
k141_35041_4	K00099	5.7e-71
k141_36992_5	K00100	8.2e-153
k141_96868_16	K00100	1.7e-125
k141_5309_2	K00100	1.3e-58
k141_36995_2	K00101	1.2e-65
k141_10223_11	K00101	1.7e-07
k141_90272_1	K00101	6.5e-07
k141_101195_9	K00101	7.6e-06
k141_59769_5	K00102	4.2e-111
k141_59769_4	K00102	2.2e-96
k141_59769_4	K00103	1.3e-09
k141_59769_5	K00103	1.7e-07
k141_59769_5	K00104	5.7e-156
k141_59769_4	K00104	3.5e-145
k141_85356_13	K00104	7.4e-08
k141_57399_1	K00105	5.5e-11
k141_57399_2	K00108	1.2e-06
k141_57399_1	K00109	8.8e-35
k141_57399_1	K00111	6e-113
k141_79602_3	K00111	1.3e-11
k141_78819_3	K00111	1.2e-08
k141_23418_8	K00111	5.9e-08
k141_33093_2	K00111	3.5e-07
k141_37792_3	K00111	7.3e-07
k141_89568_5	K00111	1.1e-06
k141_100457_2	K00111	1.2e-06
k141_61767_2	K00111	1.7e-06
k141_48003_1	K00111	3.2e-06
k141_28452_5	K00111	4.9e-06
k141_79602_3	K00112	4.3e-14
k141_100457_2	K00112	1.2e-13
k141_48003_1	K00112	2.5e-11
k141_78819_3	K00112	2.8e-11
k141_37792_3	K00112	1.2e-09
k141_61767_2	K00112	4.6e-07
k141_89568_5	K00112	5e-07
k141_1752_6	K00112	6.4e-07
k141_57399_2	K00112	5.3e-06
k141_76887_3	K00113	3.6e-09
k141_57399_1	K00116	7e-06
k141_37637_1	K00122	6e-44
k141_62504_2	K00122	2.3e-20
k141_62504_1	K00122	2e-08
k141_73605_1	K00123	8.7e-35
k141_101707_14	K00124	2.6e-16
k141_24960_10	K00124	4.1e-10
k141_61407_7	K00124	5.7e-09
k141_73605_2	K00124	1.1e-07
k141_101459_10	K00124	2.3e-07
k141_90898_4	K00124	7.6e-07
k141_43964_9	K00124	1e-06
k141_72065_1	K00124	6.6e-06
k141_5709_5	K00125	2.6e-10
k141_11251_1	K00125	6.2e-10
k141_98314_4	K00125	1.2e-07
k141_101459_10	K00125	2.1e-06
k141_43808_1	K00128	1.2e-38
k141_32624_1	K00128	4.4e-12
k141_43808_1	K00129	6.3e-24
k141_43808_1	K00130	8.1e-42
k141_32624_1	K00130	8.8e-13
k141_51595_6	K00130	8e-06
k141_43808_1	K00131	7.9e-28
k141_32624_1	K00131	4.7e-08
k141_32624_1	K00132	2.1e-10
k141_43808_1	K00135	4.5e-35
k141_32624_1	K00135	1.7e-07
k141_43808_1	K00137	1.1e-30
k141_43808_1	K00138	1.1e-39
k141_43808_1	K00139	4.8e-18
k141_43808_1	K00140	3.9e-14
k141_43808_1	K00141	8.8e-23
k141_32624_1	K00141	3.8e-10
k141_43808_1	K00146	2.2e-39
k141_32624_1	K00147	5.4e-94
k141_51595_6	K00147	5.5e-51
k141_33301_3	K00148	3.2e-07
k141_57399_2	K00148	3.6e-07
k141_43808_1	K00151	5.5e-35
k141_32624_1	K00151	2.9e-08
k141_43808_1	K00152	1.3e-22
k141_69264_1	K00156	1.6e-111
k141_28129_3	K00156	2e-108
k141_30041_3	K00156	1.1e-08
k141_70346_2	K00156	4.6e-07
k141_77497_4	K00156	4.9e-06
k141_28129_3	K00158	9.1e-126
k141_69264_1	K00158	1.1e-123
k141_70346_2	K00158	9.8e-07
k141_30041_3	K00158	4.5e-06
k141_77497_4	K00161	2.6e-09
k141_54817_1	K00162	2.8e-24
k141_86445_3	K00163	3.1e-33
k141_77497_4	K00163	4.2e-08
k141_77497_4	K00166	1e-07
k141_54817_1	K00167	2.4e-16
k141_11251_1	K00169	5.9e-78
k141_30041_4	K00169	1.1e-53
k141_70346_3	K00169	3.8e-51
k141_54817_1	K00169	8.3e-10
k141_11251_1	K00170	3.4e-52
k141_30041_3	K00170	9.5e-41
k141_70346_2	K00170	5e-40
k141_77497_4	K00170	1.4e-07
k141_24960_10	K00171	3e-19
k141_61407_7	K00171	1.6e-14
k141_90898_4	K00171	5.7e-14
k141_11251_1	K00171	4e-13
k141_101459_10	K00171	5.4e-13
k141_30041_5	K00171	2.9e-12
k141_61767_7	K00171	4.3e-12
k141_101707_14	K00171	1.9e-10
k141_43964_9	K00171	1.6e-09
k141_86098_2	K00171	1.7e-09
k141_59769_3	K00171	6.3e-09
k141_72065_1	K00171	1.4e-08
k141_73605_2	K00171	6.5e-08
k141_56349_2	K00171	6.8e-08
k141_43808_3	K00171	4.1e-07
k141_98770_16	K00171	7.6e-07
k141_11251_1	K00172	5e-39
k141_30041_2	K00172	4.3e-29
k141_24960_10	K00172	1.5e-10
k141_90898_4	K00172	1.9e-09
k141_61767_7	K00172	8e-09
k141_61407_7	K00172	1.8e-08
k141_30041_5	K00172	3.3e-08
k141_86098_2	K00172	1.1e-07
k141_101707_14	K00172	1.2e-07
k141_101459_10	K00172	1.2e-07
k141_72065_1	K00172	1.7e-07
