gene 	 KO 	 Evalue
k141_4839_26	K00001	5.1e-64
k141_10868_12	K00001	2.8e-62
k141_12245_10	K00001	3.2e-61
k141_6156_29	K00001	4.9e-54
k141_17503_30	K00001	5.7e-48
k141_3232_6	K00001	3.7e-15
k141_3444_6	K00001	5.9e-07
k141_5882_8	K00001	3.9e-06
k141_6156_17	K00002	7.2e-58
k141_9490_17	K00002	4.1e-08
k141_11076_5	K00003	5.7e-139
k141_10868_12	K00004	1.1e-105
k141_4839_26	K00004	1.2e-105
k141_12245_10	K00004	2.9e-94
k141_6156_29	K00004	1.1e-93
k141_17503_30	K00004	1.8e-75
k141_15382_3	K00004	3.1e-07
k141_6215_9	K00004	5.2e-06
k141_4207_3	K00004	5.8e-06
k141_3232_6	K00005	4.4e-17
k141_2648_45	K00005	2.3e-13
k141_12245_4	K00007	2.5e-28
k141_12245_3	K00007	1.1e-11
k141_4839_26	K00008	3.6e-133
k141_10868_12	K00008	1.8e-121
k141_12245_10	K00008	2.8e-101
k141_6156_29	K00008	7.8e-96
k141_17503_30	K00008	1.1e-76
k141_4207_3	K00008	8.3e-07
k141_18329_7	K00010	4.8e-63
k141_3229_2	K00010	2.6e-53
k141_10868_12	K00010	6.1e-06
k141_4207_3	K00012	2.3e-06
k141_4380_75	K00013	1.4e-192
k141_2648_49	K00014	4.6e-82
k141_13606_3	K00014	1.6e-09
k141_13507_12	K00014	4.3e-06
k141_3229_8	K00015	1e-94
k141_4768_8	K00015	1.4e-88
k141_3833_1	K00015	6.2e-86
k141_18782_30	K00015	2.6e-84
k141_17620_13	K00015	7.9e-72
k141_1666_39	K00015	3.9e-61
k141_17620_14	K00015	2.5e-19
k141_5882_8	K00015	2.1e-09
k141_13606_3	K00015	2.9e-08
k141_3444_18	K00015	1.6e-06
k141_13507_12	K00016	4.2e-138
k141_5211_31	K00016	5.7e-06
k141_4768_8	K00018	4.8e-121
k141_18782_30	K00018	3.2e-80
k141_3229_8	K00018	5.5e-74
k141_3833_1	K00018	4e-70
k141_17620_13	K00018	2.4e-57
k141_1666_39	K00018	4.2e-49
k141_17620_14	K00018	8.4e-16
k141_5882_8	K00018	3.9e-09
k141_13606_3	K00018	4.6e-07
k141_4151_41	K00019	1.1e-65
k141_3444_6	K00019	1.7e-59
k141_17418_30	K00019	5.9e-56
k141_6156_28	K00019	1.5e-46
k141_3229_1	K00019	3.6e-46
k141_18782_27	K00019	5.1e-43
k141_6042_6	K00019	5.8e-37
k141_18782_28	K00019	6.9e-11
k141_14337_11	K00019	1.2e-07
k141_3444_18	K00020	6.3e-108
k141_23748_5	K00020	2.1e-08
k141_14736_4	K00020	2.1e-08
k141_1666_39	K00020	1.4e-07
k141_3229_8	K00020	9.6e-07
k141_14128_1	K00020	2.4e-06
