gene 	 KO 	 Evalue
k141_4174_length_276565_cov_28.0075_154	K00001	2.2e-63
k141_2880_length_311087_cov_31.8628_148	K00001	1.6e-62
k141_4833_length_195693_cov_33.9944_119	K00001	7.3e-52
k141_1935_length_18045_cov_24.9727_8	K00001	1.2e-31
k141_4809_length_62933_cov_29.0000_10	K00001	2.4e-11
k141_4510_length_244706_cov_30.9979_53	K00002	5.9e-55
k141_2494_length_135451_cov_26.9961_4	K00003	1.4e-158
k141_2880_length_311087_cov_31.8628_214	K00003	5.4e-08
k141_4174_length_276565_cov_28.0075_154	K00004	6.6e-58
k141_2880_length_311087_cov_31.8628_148	K00004	5.7e-48
k141_4833_length_195693_cov_33.9944_119	K00004	2.1e-26
k141_1935_length_18045_cov_24.9727_8	K00004	1.7e-20
k141_4809_length_62933_cov_29.0000_10	K00004	4e-08
k141_4510_length_244706_cov_30.9979_77	K00004	8.2e-06
k141_4174_length_276565_cov_28.0075_154	K00008	1e-57
k141_2880_length_311087_cov_31.8628_148	K00008	4.2e-48
k141_4833_length_195693_cov_33.9944_119	K00008	8.8e-28
k141_1935_length_18045_cov_24.9727_8	K00008	4.2e-16
k141_4809_length_62933_cov_29.0000_10	K00008	5.9e-10
k141_4833_length_195693_cov_33.9944_128	K00008	3.9e-08
k141_2880_length_311087_cov_31.8628_222	K00008	1.1e-06
k141_4833_length_195693_cov_33.9944_99	K00010	1.3e-57
k141_2880_length_311087_cov_31.8628_214	K00010	1.5e-08
k141_120_length_30812_cov_31.9808_18	K00012	2.8e-107
k141_4833_length_195693_cov_33.9944_106	K00012	2.8e-58
k141_4174_length_276565_cov_28.0075_52	K00013	7.8e-154
k141_4174_length_276565_cov_28.0075_80	K00014	1.4e-59
k141_4510_length_244706_cov_30.9979_77	K00014	2.7e-08
k141_4833_length_195693_cov_33.9944_128	K00014	3.4e-08
k141_2880_length_311087_cov_31.8628_41	K00014	1.2e-06
k141_2880_length_311087_cov_31.8628_32	K00014	6.5e-06
k141_2880_length_311087_cov_31.8628_222	K00014	7.3e-06
k141_2880_length_311087_cov_31.8628_200	K00015	9.6e-119
k141_2494_length_135451_cov_26.9961_17	K00015	4.8e-69
k141_2880_length_311087_cov_31.8628_222	K00015	1.3e-06
k141_1506_length_47137_cov_30.9794_17	K00016	1.8e-117
k141_4833_length_195693_cov_33.9944_24	K00016	6.3e-92
k141_2880_length_311087_cov_31.8628_200	K00018	2.4e-85
k141_2494_length_135451_cov_26.9961_17	K00018	1.7e-62
k141_5247_length_127653_cov_27.9960_58	K00019	4.3e-54
k141_2880_length_311087_cov_31.8628_190	K00019	6.4e-35
k141_950_length_341991_cov_27.9960_169	K00019	8.5e-20
k141_5247_length_127653_cov_27.9960_57	K00019	7.7e-14
k141_1975_length_11267_cov_25.9567_8	K00020	1.8e-37
k141_2880_length_311087_cov_31.8628_200	K00020	4.6e-08
k141_4833_length_195693_cov_33.9944_106	K00020	9.9e-06
k141_5247_length_127653_cov_27.9960_58	K00023	7.2e-77
k141_2880_length_311087_cov_31.8628_190	K00023	1.1e-30
k141_5247_length_127653_cov_27.9960_57	K00023	3.3e-10
k141_950_length_341991_cov_27.9960_169	K00023	7.6e-09
k141_4510_length_244706_cov_30.9979_162	K00024	2.6e-90
k141_1506_length_47137_cov_30.9794_17	K00024	2.1e-88
k141_4833_length_195693_cov_33.9944_24	K00024	6.7e-72
k141_1506_length_47137_cov_30.9794_16	K00027	1.2e-197
k141_1506_length_47137_cov_30.9794_16	K00029	3.1e-194
k141_4510_length_244706_cov_30.9979_164	K00031	3.7e-70
k141_2880_length_311087_cov_31.8628_200	K00032	1.6e-80
k141_2494_length_135451_cov_26.9961_17	K00032	2.7e-44
k141_1975_length_11267_cov_25.9567_8	K00033	5.3e-93
k141_4833_length_195693_cov_33.9944_106	K00033	2.2e-06
k141_5247_length_127653_cov_27.9960_58	K00034	6.3e-69
k141_2880_length_311087_cov_31.8628_190	K00034	1.5e-36
k141_5247_length_127653_cov_27.9960_57	K00034	4.7e-25
k141_950_length_341991_cov_27.9960_169	K00034	9.1e-12
k141_4833_length_195693_cov_33.9944_99	K00035	7.6e-15
k141_5247_length_127653_cov_27.9960_58	K00038	1.2e-62
k141_2880_length_311087_cov_31.8628_190	K00038	1.4e-26
k141_5247_length_127653_cov_27.9960_57	K00038	2.3e-19
k141_950_length_341991_cov_27.9960_169	K00038	3.1e-12
k141_2880_length_311087_cov_31.8628_148	K00038	2.1e-06
k141_5247_length_127653_cov_27.9960_58	K00039	2.3e-33
k141_950_length_341991_cov_27.9960_169	K00039	6.9e-21
k141_2880_length_311087_cov_31.8628_190	K00039	2.5e-19
k141_1975_length_11267_cov_25.9567_8	K00042	2.1e-28
k141_2880_length_311087_cov_31.8628_200	K00042	1.2e-07
k141_4833_length_195693_cov_33.9944_106	K00042	1.4e-06
k141_2880_length_311087_cov_31.8628_200	K00049	1.7e-52
k141_2494_length_135451_cov_26.9961_17	K00049	2.1e-21
k141_2880_length_311087_cov_31.8628_200	K00050	3.9e-81
k141_2494_length_135451_cov_26.9961_17	K00050	2.1e-47
k141_2494_length_135451_cov_26.9961_90	K00053	2.6e-120
k141_4174_length_276565_cov_28.0075_154	K00055	2.6e-45
k141_2880_length_311087_cov_31.8628_148	K00055	1.8e-27
k141_4833_length_195693_cov_33.9944_119	K00055	2.4e-24
k141_1935_length_18045_cov_24.9727_8	K00055	5.8e-11
k141_4833_length_195693_cov_33.9944_106	K00057	1.4e-11
k141_120_length_30812_cov_31.9808_18	K00057	1.3e-08
k141_4174_length_276565_cov_28.0075_223	K00057	1.3e-06
k141_2880_length_311087_cov_31.8628_200	K00058	1.9e-103
k141_2494_length_135451_cov_26.9961_17	K00058	1.1e-95
k141_2880_length_311087_cov_31.8628_222	K00058	1.2e-06
k141_5247_length_127653_cov_27.9960_58	K00059	8.5e-93
k141_2880_length_311087_cov_31.8628_190	K00059	9.9e-45
k141_5247_length_127653_cov_27.9960_57	K00059	4.5e-32
k141_950_length_341991_cov_27.9960_169	K00059	2.8e-20
k141_4833_length_195693_cov_33.9944_48	K00059	8.1e-11
k141_4510_length_244706_cov_30.9979_22	K00059	2.4e-06
k141_1935_length_18045_cov_24.9727_20	K00059	3.1e-06
k141_2880_length_311087_cov_31.8628_52	K00059	3.7e-06
k141_4174_length_276565_cov_28.0075_154	K00060	2.3e-54
k141_2880_length_311087_cov_31.8628_148	K00060	2.5e-39
k141_4833_length_195693_cov_33.9944_119	K00060	1.1e-22
k141_1935_length_18045_cov_24.9727_8	K00060	3.8e-15
k141_4809_length_62933_cov_29.0000_10	K00060	1.5e-07
k141_950_length_341991_cov_27.9960_16	K00064	8.8e-43
k141_4174_length_276565_cov_28.0075_219	K00064	3.4e-40
k141_4510_length_244706_cov_30.9979_53	K00064	1.1e-26
k141_5247_length_127653_cov_27.9960_58	K00065	3.3e-72
k141_2880_length_311087_cov_31.8628_190	K00065	7e-41
k141_5247_length_127653_cov_27.9960_57	K00065	9.2e-24
k141_950_length_341991_cov_27.9960_169	K00065	1.1e-11
k141_4833_length_195693_cov_33.9944_48	K00065	1e-06
k141_120_length_30812_cov_31.9808_18	K00066	2.5e-60
k141_4833_length_195693_cov_33.9944_106	K00066	3.6e-40
k141_4510_length_244706_cov_30.9979_22	K00067	4.1e-28
k141_4833_length_195693_cov_33.9944_48	K00067	1.7e-20
k141_1935_length_18045_cov_24.9727_20	K00067	6.2e-11
k141_2880_length_311087_cov_31.8628_52	K00067	7e-11
k141_5247_length_127653_cov_27.9960_58	K00068	1.3e-55
k141_2880_length_311087_cov_31.8628_190	K00068	5.7e-27
k141_950_length_341991_cov_27.9960_169	K00068	4.9e-08
k141_5247_length_127653_cov_27.9960_57	K00068	4.9e-06
k141_4833_length_195693_cov_33.9944_106	K00074	1.1e-06
k141_1378_length_166302_cov_30.9992_76	K00075	6.9e-93
k141_4174_length_276565_cov_28.0075_223	K00077	1.5e-83
k141_4833_length_195693_cov_33.9944_106	K00077	5.2e-06
k141_2880_length_311087_cov_31.8628_190	K00079	9.9e-11
k141_950_length_341991_cov_27.9960_268	K00082	3.6e-32
k141_2880_length_311087_cov_31.8628_190	K00084	9e-06
k141_950_length_341991_cov_27.9960_285	K00088	2.5e-210
k141_4510_length_244706_cov_30.9979_158	K00088	8e-135
k141_950_length_341991_cov_27.9960_284	K00088	9.3e-82
k141_950_length_341991_cov_27.9960_58	K00088	1.5e-08
k141_2880_length_311087_cov_31.8628_200	K00090	6.9e-93
k141_2494_length_135451_cov_26.9961_17	K00090	5.4e-52
k141_4174_length_276565_cov_28.0075_154	K00094	1.6e-29
k141_2880_length_311087_cov_31.8628_148	K00094	3.4e-13
k141_4833_length_195693_cov_33.9944_119	K00094	2.9e-09
k141_4174_length_276565_cov_28.0075_83	K00096	5.8e-07
k141_4174_length_276565_cov_28.0075_154	K00098	6.7e-35
k141_2880_length_311087_cov_31.8628_148	K00098	7.7e-21
k141_4833_length_195693_cov_33.9944_119	K00098	1.6e-10
k141_1935_length_18045_cov_24.9727_8	K00098	1.8e-08
k141_4809_length_62933_cov_29.0000_10	K00098	4e-07
k141_950_length_341991_cov_27.9960_72	K00099	1.9e-146
k141_950_length_341991_cov_27.9960_284	K00101	6.7e-11
k141_4510_length_244706_cov_30.9979_158	K00101	9.9e-07
k141_950_length_341991_cov_27.9960_91	K00102	2.1e-77
k141_950_length_341991_cov_27.9960_210	K00102	4.1e-75
k141_950_length_341991_cov_27.9960_91	K00104	1.4e-102
k141_950_length_341991_cov_27.9960_210	K00104	3e-92
k141_2880_length_311087_cov_31.8628_197	K00105	3.5e-40
k141_2880_length_311087_cov_31.8628_197	K00109	1.7e-09
k141_2880_length_311087_cov_31.8628_197	K00111	2.6e-105
k141_1378_length_166302_cov_30.9992_39	K00111	8.3e-12
k141_2880_length_311087_cov_31.8628_6	K00111	1.2e-09
k141_4174_length_276565_cov_28.0075_120	K00111	2.2e-08
k141_2880_length_311087_cov_31.8628_196	K00111	6.5e-08
k141_5247_length_127653_cov_27.9960_28	K00111	2.4e-07
k141_5247_length_127653_cov_27.9960_35	K00111	9.3e-06
k141_2880_length_311087_cov_31.8628_196	K00112	3.8e-130
k141_2880_length_311087_cov_31.8628_242	K00112	7.8e-11
k141_4174_length_276565_cov_28.0075_120	K00112	3.5e-10
