Pathway	ERR1995262_bin.1	ERR1995262_bin.10	ERR1995262_bin.11	ERR1995262_bin.12	ERR1995262_bin.2	ERR1995262_bin.3	ERR1995262_bin.4	ERR1995262_bin.5	ERR1995262_bin.6	ERR1995262_bin.7	ERR1995262_bin.8	ERR1995262_bin.9
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	19	18	15	22	19	14	22	18	18	19	17	20
Glycolysis, core module involving three-carbon compounds	10	10	8	11	10	8	10	10	10	10	10	10
Gluconeogenesis, oxaloacetate => fructose-6P	12	12	11	16	11	8	13	13	12	13	11	13
Pentose phosphate pathway (Pentose phosphate cycle)	11	11	11	13	8	10	13	10	11	11	8	8
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	3	4	3	5	2	4	5	3	3	5	2	3
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	5	5	5	6	4	4	6	5	6	5	5	4
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	3	4	2	5	2	4	5	2	3	4	1	3
Citrate cycle (TCA cycle, Krebs cycle)	19	22	25	30	21	17	25	23	19	24	10	23
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	6	6	5	6	6	6	6	5	5	5	0	6
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	13	16	20	24	15	11	19	18	14	19	10	17
Glyoxylate cycle	4	4	3	6	4	4	4	4	4	3	0	4
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	1	1	2	3	4	1	3	2	1	2	1	2
Glucuronate pathway (uronate pathway)	6	9	6	8	6	8	7	5	5	7	6	5
Proline biosynthesis, glutamate => proline	3	3	3	3	2	3	3	3	3	3	2	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	13	11	13	13	13	12	13	5	13
Methionine biosynthesis, aspartate => homoserine => methionine	12	12	9	13	11	11	12	12	12	12	6	11
Threonine biosynthesis, aspartate => homoserine => threonine	10	10	10	10	8	10	10	9	10	10	8	9
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	6	6	6	6	5	5	6	6	2	3	0	6
Serine biosynthesis, glycerate-3P => serine	5	5	5	5	4	5	5	3	5	5	4	4
Cysteine biosynthesis, serine => cysteine	4	4	3	4	3	4	4	4	4	4	2	4
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	12	11	13	12	10	11	12	12	12	11	1	12
Tryptophan biosynthesis, chorismate => tryptophan	14	14	8	14	8	13	14	14	8	14	7	13
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	8	10	10	9	10	9	9	10	10	9	4	9
