gene 	 KO 	 Evalue
k141_2566_length_25257_cov_10.0000_21	K00001	9.9e-84
k141_825_length_22106_cov_9.0000_19	K00001	7.3e-83
k141_1195_length_13026_cov_10.0000_5	K00001	8.8e-74
k141_2949_length_35674_cov_12.0000_6	K00001	1.2e-62
k141_2031_length_58879_cov_12.0000_50	K00001	3.3e-61
k141_1944_length_21394_cov_9.0000_10	K00001	4.5e-55
k141_1448_length_59974_cov_12.0000_32	K00001	2.5e-53
k141_2874_length_42195_cov_14.0000_18	K00001	1.5e-50
k141_2602_length_70936_cov_15.3189_37	K00001	1e-42
k141_2521_length_75695_cov_11.6534_46	K00001	7.9e-38
k141_1831_length_65085_cov_10.1368_20	K00001	1.6e-37
k141_1764_length_38167_cov_10.0000_6	K00001	8.1e-36
k141_302_length_47084_cov_11.0000_6	K00001	1.5e-33
k141_2215_length_9889_cov_11.0000_1	K00001	3.8e-32
k141_1443_length_13086_cov_12.0000_1	K00001	2.6e-21
k141_420_length_22457_cov_8.0000_7	K00001	2.8e-21
k141_1441_length_34761_cov_10.0000_31	K00001	1.4e-19
k141_2231_length_50872_cov_12.0000_9	K00001	1.4e-16
k141_2384_length_39915_cov_9.0000_35	K00001	1.3e-06
k141_2619_length_24842_cov_13.0000_4	K00001	3.5e-06
k141_2231_length_50872_cov_12.0000_10	K00002	2.5e-61
k141_755_length_24567_cov_10.5204_22	K00002	7.6e-29
k141_3788_length_2097_cov_7.0000_1	K00002	5e-12
k141_3332_length_32867_cov_11.0000_15	K00002	2.4e-08
k141_2566_length_25257_cov_10.0000_16	K00002	2.5e-08
k141_1358_length_31867_cov_10.0000_3	K00002	4.8e-08
k141_2254_length_56471_cov_13.0000_11	K00002	2.5e-06
k141_2625_length_15957_cov_10.0000_8	K00002	3.7e-06
k141_446_length_28349_cov_12.9204_8	K00003	3.1e-80
k141_2197_length_7742_cov_12.0000_5	K00003	2.9e-69
k141_1944_length_21394_cov_9.0000_10	K00004	6.2e-99
k141_2949_length_35674_cov_12.0000_6	K00004	5.2e-94
k141_1195_length_13026_cov_10.0000_5	K00004	1.3e-76
k141_2566_length_25257_cov_10.0000_21	K00004	9.9e-76
k141_825_length_22106_cov_9.0000_19	K00004	7.6e-69
k141_2031_length_58879_cov_12.0000_50	K00004	1.2e-54
k141_420_length_22457_cov_8.0000_7	K00004	1.2e-47
k141_1448_length_59974_cov_12.0000_32	K00004	1.4e-35
k141_2874_length_42195_cov_14.0000_18	K00004	2e-20
k141_1443_length_13086_cov_12.0000_1	K00004	7.5e-13
k141_2261_length_74266_cov_14.2607_5	K00004	2.9e-06
k141_1831_length_65085_cov_10.1368_16	K00005	3.8e-152
k141_302_length_47084_cov_11.0000_6	K00005	3.3e-20
k141_2521_length_75695_cov_11.6534_46	K00005	1.3e-17
k141_1831_length_65085_cov_10.1368_20	K00005	2.9e-17
k141_1764_length_38167_cov_10.0000_6	K00005	3.1e-17
k141_2602_length_70936_cov_15.3189_37	K00005	1.1e-16
k141_2215_length_9889_cov_11.0000_1	K00005	1.1e-13
k141_1441_length_34761_cov_10.0000_30	K00005	1.4e-12
k141_2231_length_50872_cov_12.0000_9	K00005	1.8e-12
k141_1517_length_33871_cov_12.0000_17	K00005	2.2e-09
k141_1262_length_17918_cov_10.9876_18	K00007	1.7e-205
k141_1944_length_21394_cov_9.0000_8	K00007	8.7e-104
k141_1399_length_60812_cov_10.0000_51	K00007	5.3e-100
k141_1730_length_10679_cov_9.0000_9	K00007	4e-41
k141_2521_length_75695_cov_11.6534_55	K00007	2.1e-22
k141_2949_length_35674_cov_12.0000_6	K00008	4.8e-103
k141_1944_length_21394_cov_9.0000_10	K00008	9.3e-99
k141_2566_length_25257_cov_10.0000_21	K00008	1.1e-81
k141_1195_length_13026_cov_10.0000_5	K00008	2.2e-81
k141_825_length_22106_cov_9.0000_19	K00008	3.8e-77
k141_2031_length_58879_cov_12.0000_50	K00008	4.9e-54
k141_420_length_22457_cov_8.0000_7	K00008	3.5e-51
k141_1448_length_59974_cov_12.0000_32	K00008	1.4e-37
k141_2874_length_42195_cov_14.0000_18	K00008	7.3e-16
k141_1443_length_13086_cov_12.0000_1	K00008	3.1e-10
k141_2261_length_74266_cov_14.2607_5	K00008	1.9e-07
k141_2521_length_75695_cov_11.6534_55	K00009	4.2e-146
k141_1399_length_60812_cov_10.0000_51	K00009	5.6e-28
k141_1944_length_21394_cov_9.0000_8	K00009	2.1e-26
k141_1262_length_17918_cov_10.9876_18	K00009	1.9e-24
k141_1730_length_10679_cov_9.0000_9	K00009	1.3e-16
