gene 	 KO 	 Evalue
k115_3247_length_27206_cov_19.8017_17	K00001	1.5e-60
k115_2875_length_47021_cov_13.9889_30	K00001	6.5e-59
k115_9216_length_67672_cov_14.9932_28	K00001	7.8e-23
k115_85019_length_9862_cov_15.9754_8	K00001	6.4e-19
k115_42887_length_35605_cov_17.9923_10	K00001	6.3e-06
k115_2875_length_47021_cov_13.9889_22	K00003	4.4e-131
k115_2875_length_47021_cov_13.9889_30	K00004	5.3e-105
k115_3247_length_27206_cov_19.8017_17	K00004	8.9e-101
k115_30989_length_39648_cov_17.9772_14	K00004	1.6e-09
k115_22173_length_15950_cov_22.9264_13	K00004	3.7e-07
k115_30989_length_39648_cov_17.9772_20	K00004	1.2e-06
k115_19287_length_22368_cov_13.9871_3	K00004	1.2e-06
k115_30989_length_39648_cov_17.9772_7	K00004	3.9e-06
k115_85019_length_9862_cov_15.9754_8	K00005	3.4e-18
k115_8114_length_101212_cov_15.9948_40	K00005	5.1e-12
k115_9216_length_67672_cov_14.9932_28	K00005	1.8e-11
k115_62228_length_25047_cov_19.9756_5	K00007	1.6e-47
k115_50701_length_10210_cov_17.9714_1	K00007	9.2e-37
k115_2875_length_47021_cov_13.9889_30	K00008	8.7e-116
k115_3247_length_27206_cov_19.8017_17	K00008	2.9e-106
k115_30989_length_39648_cov_17.9772_14	K00008	3e-08
k115_19287_length_22368_cov_13.9871_3	K00008	3.7e-07
k115_30989_length_39648_cov_17.9772_20	K00008	4.5e-07
k115_22173_length_15950_cov_22.9264_13	K00008	8.4e-07
k115_30989_length_39648_cov_17.9772_7	K00008	2.8e-06
k115_50701_length_10210_cov_17.9714_1	K00009	7.4e-14
k115_62228_length_25047_cov_19.9756_5	K00009	5.8e-11
k115_47787_length_62050_cov_14.0914_49	K00010	9.9e-70
k115_19129_length_21907_cov_18.9711_20	K00010	2.3e-31
k115_8114_length_101212_cov_15.9948_19	K00010	3.4e-25
k115_8114_length_101212_cov_15.9948_20	K00010	4.5e-20
k115_30989_length_39648_cov_17.9772_6	K00010	9.8e-06
k115_27118_length_49495_cov_20.0000_34	K00012	3.4e-106
k115_64751_length_58067_cov_15.9959_37	K00012	1.1e-07
k115_49972_length_55939_cov_14.9920_40	K00012	9.2e-07
k115_2875_length_47021_cov_13.9889_38	K00012	2.5e-06
k115_22173_length_15950_cov_22.9264_13	K00012	6.4e-06
k115_33619_length_5202_cov_18.8832_3	K00012	9.4e-06
k115_30989_length_39648_cov_17.9772_20	K00012	9.6e-06
k115_41572_length_57999_cov_14.1807_41	K00013	4.3e-187
k115_8114_length_101212_cov_15.9948_38	K00014	4.6e-81
k115_34156_length_26047_cov_14.9822_16	K00014	8.5e-58
k115_85019_length_9862_cov_15.9754_1	K00014	8.8e-10
k115_30989_length_39648_cov_17.9772_7	K00014	7.3e-07
k115_15158_length_6597_cov_21.9190_5	K00014	1.5e-06
k115_21860_length_56585_cov_18.9949_45	K00014	4.1e-06
k115_30989_length_39648_cov_17.9772_22	K00015	1.8e-79
k115_62652_length_17531_cov_19.9879_11	K00015	7e-69
k115_49972_length_55939_cov_14.9920_20	K00015	9e-65
k115_85019_length_9862_cov_15.9754_1	K00015	8.5e-08
k115_30989_length_39648_cov_17.9772_22	K00018	1.5e-72
k115_62652_length_17531_cov_19.9879_11	K00018	5e-62
k115_49972_length_55939_cov_14.9920_20	K00018	4.3e-50
k115_55993_length_6059_cov_19.0000_3	K00019	9.5e-57
k115_2875_length_47021_cov_13.9889_36	K00019	1.4e-55
k115_24277_length_15380_cov_17.9635_4	K00019	2.2e-55
k115_34156_length_26047_cov_14.9822_8	K00019	3.4e-55
k115_41572_length_57999_cov_14.1807_31	K00019	4.3e-49
k115_8114_length_101212_cov_15.9948_7	K00019	3.4e-36
k115_2875_length_47021_cov_13.9889_28	K00019	1.7e-28
k115_64751_length_58067_cov_15.9959_36	K00019	9.2e-16
k115_26733_length_7167_cov_17.9590_3	K00019	1.1e-13
k115_1110_length_32767_cov_19.9820_8	K00019	3e-07
k115_57337_length_45610_cov_17.6437_14	K00019	4.8e-06
k115_15158_length_6597_cov_21.9190_5	K00020	8.7e-12
k115_85019_length_9862_cov_15.9754_1	K00020	9.5e-08
k115_8918_length_13367_cov_19.8623_5	K00020	7.2e-07
k115_30989_length_39648_cov_17.9772_22	K00020	1.9e-06
k115_8114_length_101212_cov_15.9948_35	K00020	2.7e-06
k115_22173_length_15950_cov_22.9264_13	K00020	3.5e-06
k115_62652_length_17531_cov_19.9879_11	K00020	4.4e-06
k115_8918_length_13367_cov_19.8623_5	K00022	1.8e-65
k115_34156_length_26047_cov_14.9822_8	K00023	4.7e-88
k115_24277_length_15380_cov_17.9635_4	K00023	1.3e-78
k115_55993_length_6059_cov_19.0000_3	K00023	1.4e-60
k115_41572_length_57999_cov_14.1807_31	K00023	1.8e-60
k115_2875_length_47021_cov_13.9889_36	K00023	2.8e-54
k115_2875_length_47021_cov_13.9889_28	K00023	2.6e-34
k115_8114_length_101212_cov_15.9948_7	K00023	5.2e-27
k115_64751_length_58067_cov_15.9959_36	K00023	2.1e-20
k115_1110_length_32767_cov_19.9820_8	K00023	2.2e-08
k115_26733_length_7167_cov_17.9590_3	K00023	4.3e-08
k115_9216_length_67672_cov_14.9932_39	K00024	6e-07
k115_19742_length_45789_cov_15.9829_38	K00027	2.3e-140
k115_19742_length_45789_cov_15.9829_38	K00029	3.3e-91
k115_33954_length_10159_cov_20.8925_4	K00030	9.6e-118
k115_19742_length_45789_cov_15.9829_15	K00030	2.4e-44
k115_33954_length_10159_cov_20.8925_4	K00031	1e-87
k115_19742_length_45789_cov_15.9829_15	K00031	6.3e-45
k115_30989_length_39648_cov_17.9772_22	K00032	2.4e-49
k115_62652_length_17531_cov_19.9879_11	K00032	6.1e-37
k115_49972_length_55939_cov_14.9920_20	K00032	1e-35
k115_22173_length_15950_cov_22.9264_13	K00033	7.7e-06
k115_34156_length_26047_cov_14.9822_8	K00034	2.1e-84
k115_55993_length_6059_cov_19.0000_3	K00034	8.5e-83
k115_41572_length_57999_cov_14.1807_31	K00034	6.6e-80
k115_2875_length_47021_cov_13.9889_36	K00034	1.8e-78
k115_24277_length_15380_cov_17.9635_4	K00034	3.6e-75
k115_2875_length_47021_cov_13.9889_28	K00034	3.3e-41
k115_8114_length_101212_cov_15.9948_7	K00034	7.1e-38
k115_64751_length_58067_cov_15.9959_36	K00034	1.1e-33
