ko	pathway	ERR1995248_bin.1	ERR1995248_bin.10	ERR1995248_bin.11	ERR1995248_bin.12	ERR1995248_bin.13	ERR1995248_bin.2	ERR1995248_bin.3	ERR1995248_bin.4	ERR1995248_bin.5	ERR1995248_bin.6	ERR1995248_bin.7	ERR1995248_bin.8	ERR1995248_bin.9
ko00010	Glycolysis / Gluconeogenesis	59	60	61	56	61	66	77	64	65	54	56	57	65
ko00020	Citrate cycle (TCA cycle)	39	36	41	37	36	36	50	38	38	29	35	42	43
ko00030	Pentose phosphate pathway	50	50	56	55	50	63	70	56	55	50	50	51	58
ko00040	Pentose and glucuronate interconversions	43	57	54	41	42	50	62	35	51	26	30	42	56
ko00051	Fructose and mannose metabolism	58	54	63	46	49	71	81	60	70	43	48	52	61
ko00052	Galactose metabolism	33	40	36	25	33	48	54	50	49	26	24	36	39
ko00053	Ascorbate and aldarate metabolism	29	32	29	30	28	30	38	26	30	24	23	28	32
ko00061	Fatty acid biosynthesis	25	14	26	21	24	18	27	25	14	25	25	24	27
ko00062	Fatty acid elongation	1	2	1	5	1	2	5	2	2	3	3	1	2
ko00071	Fatty acid degradation	24	21	31	35	31	26	34	18	18	23	32	30	31
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	1	0	0	0	0
ko00100	Steroid biosynthesis	2	2	2	2	3	2	3	2	3	3	2	2	2
ko00120	Primary bile acid biosynthesis	1	3	2	1	1	0	3	1	3	0	3	2	2
ko00121	Secondary bile acid biosynthesis	1	3	3	2	3	2	2	1	1	2	2	3	3
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	34	24	34	32	27	24	37	27	21	30	31	33	34
ko00140	Steroid hormone biosynthesis	5	3	4	3	4	4	3	4	4	4	3	5	5
ko00190	Oxidative phosphorylation	6	4	6	5	5	4	12	4	4	4	2	6	5
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	36	33	36	35	34	36	41	36	30	33	37	35	35
ko00230	Purine metabolism	81	82	85	84	73	88	113	84	85	75	77	82	81
ko00232	Caffeine metabolism	0	1	0	1	0	1	2	1	0	1	1	0	0
ko00240	Pyrimidine metabolism	54	62	61	49	52	56	73	49	59	50	59	55	58
ko00250	Alanine, aspartate and glutamate metabolism	43	46	46	49	50	46	55	49	46	49	50	42	51
ko00253	Tetracycline biosynthesis	6	6	8	8	6	7	12	10	6	6	8	6	6
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	74	69	77	71	73	71	81	72	71	64	70	74	78
ko00261	Monobactam biosynthesis	17	15	18	16	15	12	19	14	15	13	16	18	18
ko00270	Cysteine and methionine metabolism	60	71	70	63	62	73	76	68	61	61	66	64	68
ko00280	Valine, leucine and isoleucine degradation	47	43	52	50	54	43	59	42	35	49	58	52	53
ko00281	Geraniol degradation	10	12	13	14	14	12	15	10	9	12	13	13	14
ko00290	Valine, leucine and isoleucine biosynthesis	15	16	16	14	15	14	16	16	11	13	16	16	16
