ko	pathway	ERR1995229_bin.1	ERR1995229_bin.10	ERR1995229_bin.11	ERR1995229_bin.12	ERR1995229_bin.13	ERR1995229_bin.14	ERR1995229_bin.15	ERR1995229_bin.16	ERR1995229_bin.17	ERR1995229_bin.18	ERR1995229_bin.19	ERR1995229_bin.2	ERR1995229_bin.20	ERR1995229_bin.21	ERR1995229_bin.22	ERR1995229_bin.23	ERR1995229_bin.24	ERR1995229_bin.25	ERR1995229_bin.26	ERR1995229_bin.27	ERR1995229_bin.28	ERR1995229_bin.29	ERR1995229_bin.3	ERR1995229_bin.30	ERR1995229_bin.31	ERR1995229_bin.32	ERR1995229_bin.33	ERR1995229_bin.34	ERR1995229_bin.35	ERR1995229_bin.36	ERR1995229_bin.37	ERR1995229_bin.38	ERR1995229_bin.39	ERR1995229_bin.4	ERR1995229_bin.40	ERR1995229_bin.41	ERR1995229_bin.5	ERR1995229_bin.6	ERR1995229_bin.7	ERR1995229_bin.8	ERR1995229_bin.9
ko00010	Glycolysis / Gluconeogenesis	56	48	57	62	47	60	64	52	59	54	60	62	57	55	66	62	48	64	55	50	57	49	50	56	54	51	59	62	55	52	59	56	49	50	56	56	50	55	56	62	53
ko00020	Citrate cycle (TCA cycle)	39	26	36	38	37	39	38	23	38	34	36	37	33	38	40	41	37	37	35	35	33	32	33	39	32	29	37	37	35	36	37	40	17	33	38	34	33	40	32	39	33
ko00030	Pentose phosphate pathway	51	42	44	53	45	48	50	40	50	47	58	46	47	51	60	54	43	46	48	45	49	40	38	49	47	44	49	48	54	49	47	47	40	45	47	48	40	50	56	54	49
ko00040	Pentose and glucuronate interconversions	43	32	34	49	40	41	40	19	30	31	48	51	46	53	45	54	48	41	30	30	41	16	24	45	25	49	46	46	45	38	26	46	27	38	38	31	23	39	45	44	41
ko00051	Fructose and mannose metabolism	47	43	49	53	40	50	46	38	50	39	65	51	49	53	70	58	51	44	47	34	52	35	38	54	50	55	49	56	63	48	45	50	36	40	48	45	46	50	63	53	36
ko00052	Galactose metabolism	32	30	32	31	26	35	38	22	35	31	42	36	33	32	46	35	35	33	22	23	33	26	25	35	29	38	34	36	43	39	33	35	25	33	34	36	35	34	45	38	31
ko00053	Ascorbate and aldarate metabolism	24	19	21	28	21	24	26	13	24	22	29	25	26	28	27	29	26	28	23	17	26	14	14	24	22	28	26	29	28	23	21	28	17	25	25	24	19	21	26	26	21
ko00061	Fatty acid biosynthesis	25	12	25	25	15	11	26	26	24	25	26	24	15	24	25	26	25	27	25	13	23	27	11	26	26	17	24	25	26	22	24	27	7	20	27	17	24	24	26	22	18
ko00062	Fatty acid elongation	2	2	1	2	4	2	4	1	4	1	4	1	2	2	2	1	1	4	3	4	4	1	1	4	2	3	1	1	4	4	1	4	1	1	4	1	1	4	3	1	4
ko00071	Fatty acid degradation	17	27	16	17	32	15	34	13	31	16	32	15	13	19	19	31	31	33	32	28	28	21	15	31	22	17	16	14	24	29	15	34	13	14	33	13	13	34	23	13	33
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	2	2	2	2	1	2	2	2	1	2	3	2	2	2	1	3	2	2	2	1	2	2	2	3	2	2	2	3	3	2	2	2	1	3	2	2	1	1	3	2	2
ko00120	Primary bile acid biosynthesis	2	2	1	1	0	3	2	1	2	1	2	1	1	1	0	1	1	2	3	1	4	0	2	3	2	3	0	2	1	3	2	1	0	1	1	2	0	1	2	1	0
ko00121	Secondary bile acid biosynthesis	1	3	1	1	2	1	3	1	3	0	3	1	1	1	0	3	3	3	2	2	3	0	1	3	1	1	0	1	2	3	1	2	0	0	2	1	0	2	2	1	2
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	28	22	25	29	23	18	27	17	29	29	23	26	21	28	25	30	30	27	31	22	26	34	24	24	32	22	26	25	20	27	29	27	14	21	28	25	27	26	22	27	21
ko00140	Steroid hormone biosynthesis	4	3	3	4	3	3	4	4	4	4	3	4	3	4	4	5	4	4	3	3	4	5	3	3	5	4	4	4	3	4	3	4	3	3	4	4	3	3	3	4	3
ko00190	Oxidative phosphorylation	4	3	2	4	4	2	2	2	2	4	3	3	2	4	5	6	5	2	2	4	3	6	3	3	6	2	3	2	3	3	2	4	2	4	3	4	4	4	2	4	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	39	26	38	37	30	38	37	16	36	27	26	35	37	39	38	37	34	37	37	37	37	31	35	37	33	34	39	39	35	35	37	37	19	28	41	32	33	36	33	42	27
ko00230	Purine metabolism	83	70	76	85	73	76	84	56	87	67	81	75	83	90	89	83	78	85	77	85	88	76	62	85	80	67	77	78	84	82	75	79	53	76	81	80	64	79	81	88	80
ko00232	Caffeine metabolism	1	3	0	1	1	0	1	3	1	0	1	0	0	1	1	0	0	0	1	1	1	0	3	1	0	0	3	3	1	0	0	0	0	0	0	1	0	1	1	1	1
ko00240	Pyrimidine metabolism	53	48	55	53	51	52	57	38	56	54	53	50	64	58	54	51	57	57	58	50	52	53	54	53	53	54	54	60	53	52	52	52	49	51	51	52	54	51	53	57	53
ko00250	Alanine, aspartate and glutamate metabolism	50	34	46	50	38	51	48	24	43	39	39	47	50	52	49	50	43	48	50	45	51	43	46	47	41	48	50	49	47	43	46	50	29	41	48	48	41	47	43	48	37
ko00253	Tetracycline biosynthesis	6	5	5	7	6	7	7	5	6	7	5	6	5	7	6	6	6	5	8	5	7	6	5	6	7	6	6	7	6	7	8	7	2	9	6	2	5	6	6	6	4
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	69	59	66	73	66	72	70	51	71	70	63	64	66	74	71	76	66	70	70	67	75	70	65	68	63	70	73	75	69	69	70	70	44	64	66	67	66	69	68	70	67
