gene 	 KO 	 Evalue
k115_8680_length_76057_cov_28.2103_29	K00001	1.6e-21
k115_37241_length_220045_cov_30.7985_75	K00001	1.3e-11
k115_49312_length_105491_cov_23.9965_21	K00001	2.2e-09
k115_49238_length_106962_cov_26.9922_93	K00001	2.3e-06
k115_23834_length_81052_cov_29.0000_61	K00002	1.8e-48
k115_13043_length_101476_cov_27.9957_71	K00003	3.8e-140
k115_50240_length_416105_cov_22.9983_45	K00003	1.2e-07
k115_21578_length_175401_cov_25.9977_88	K00003	3.5e-07
k115_68069_length_159151_cov_29.9883_103	K00003	1.2e-06
k115_87656_length_174007_cov_24.9978_49	K00004	7.6e-07
k115_32031_length_50416_cov_28.9911_9	K00005	9.8e-27
k115_37241_length_220045_cov_30.7985_75	K00005	3e-13
k115_76215_length_132532_cov_33.9817_72	K00005	2.7e-12
k115_8680_length_76057_cov_28.2103_29	K00005	3.7e-12
k115_49312_length_105491_cov_23.9965_21	K00005	1e-06
k115_49238_length_106962_cov_26.9922_93	K00008	3.4e-06
k115_68069_length_159151_cov_29.9883_103	K00010	1.4e-48
k115_21578_length_175401_cov_25.9977_88	K00010	5.5e-46
k115_50240_length_416105_cov_22.9983_133	K00010	9.2e-06
k115_50240_length_416105_cov_22.9983_311	K00012	3.9e-11
k115_32031_length_50416_cov_28.9911_28	K00012	6.6e-06
k115_50240_length_416105_cov_22.9983_213	K00013	2.5e-186
k115_46654_length_258361_cov_25.1112_14	K00014	1.8e-89
k115_68069_length_159151_cov_29.9883_103	K00014	3.4e-07
k115_50240_length_416105_cov_22.9983_306	K00014	2.2e-06
k115_9777_length_43713_cov_27.0195_17	K00015	1.1e-80
k115_32031_length_50416_cov_28.9911_40	K00015	2e-75
k115_49312_length_105491_cov_23.9965_35	K00015	9.1e-59
k115_9777_length_43713_cov_27.0195_17	K00018	7.7e-121
k115_32031_length_50416_cov_28.9911_40	K00018	1.6e-67
k115_49312_length_105491_cov_23.9965_35	K00018	5.4e-49
k115_87656_length_174007_cov_24.9978_49	K00018	1e-06
k115_19319_length_92428_cov_30.3785_58	K00019	4e-59
k115_49238_length_106962_cov_26.9922_87	K00019	3e-50
k115_21578_length_175401_cov_25.9977_74	K00019	1.5e-44
k115_50240_length_416105_cov_22.9983_207	K00019	3.6e-38
k115_8680_length_76057_cov_28.2103_17	K00019	2e-07
k115_50240_length_416105_cov_22.9983_311	K00020	6.4e-08
k115_87656_length_174007_cov_24.9978_63	K00020	7.2e-08
k115_50240_length_416105_cov_22.9983_284	K00020	1.6e-07
k115_49312_length_105491_cov_23.9965_35	K00020	8.5e-07
k115_50240_length_416105_cov_22.9983_133	K00020	1.1e-06
k115_49312_length_105491_cov_23.9965_13	K00020	5.4e-06
k115_50240_length_416105_cov_22.9983_133	K00022	1.2e-66
k115_19319_length_92428_cov_30.3785_58	K00023	5.8e-89
k115_49238_length_106962_cov_26.9922_87	K00023	2.7e-67
k115_21578_length_175401_cov_25.9977_74	K00023	9.8e-40
k115_50240_length_416105_cov_22.9983_207	K00023	2.9e-31
k115_8680_length_76057_cov_28.2103_17	K00023	3.6e-07
k115_50240_length_416105_cov_22.9983_133	K00024	8.8e-06
k115_37241_length_220045_cov_30.7985_179	K00024	9.4e-06
k115_68069_length_159151_cov_29.9883_40	K00027	5.2e-145
k115_68069_length_159151_cov_29.9883_40	K00029	6.5e-96
k115_49312_length_105491_cov_23.9965_31	K00030	7.7e-49
k115_35811_length_38257_cov_23.9807_34	K00031	3.7e-160
k115_49312_length_105491_cov_23.9965_31	K00031	7.2e-52
k115_9777_length_43713_cov_27.0195_17	K00032	3.3e-58
k115_32031_length_50416_cov_28.9911_40	K00032	3.3e-43
k115_49312_length_105491_cov_23.9965_35	K00032	4.4e-32
k115_50240_length_416105_cov_22.9983_311	K00033	1.4e-08
k115_32031_length_50416_cov_28.9911_28	K00033	9.9e-06
k115_19319_length_92428_cov_30.3785_58	K00034	9.6e-90
k115_49238_length_106962_cov_26.9922_87	K00034	5.1e-72
k115_21578_length_175401_cov_25.9977_74	K00034	7.6e-58
k115_50240_length_416105_cov_22.9983_207	K00034	5.6e-37
k115_8680_length_76057_cov_28.2103_17	K00034	1.6e-09
k115_21578_length_175401_cov_25.9977_88	K00035	1.8e-16
k115_68069_length_159151_cov_29.9883_103	K00035	9.2e-16
k115_19319_length_92428_cov_30.3785_58	K00038	5.3e-72
k115_49238_length_106962_cov_26.9922_87	K00038	1.1e-54
k115_21578_length_175401_cov_25.9977_74	K00038	6e-53
k115_50240_length_416105_cov_22.9983_207	K00038	8e-34
k115_8680_length_76057_cov_28.2103_17	K00038	9.6e-07
k115_49238_length_106962_cov_26.9922_87	K00039	5.1e-39
k115_19319_length_92428_cov_30.3785_58	K00039	1.4e-37
k115_50240_length_416105_cov_22.9983_207	K00039	2.6e-27
k115_21578_length_175401_cov_25.9977_74	K00039	7.9e-21
k115_8680_length_76057_cov_28.2103_29	K00043	1.3e-57
k115_49312_length_105491_cov_23.9965_21	K00043	1.2e-31
k115_37241_length_220045_cov_30.7985_75	K00043	2.1e-30
