ko	pathway	ERR1995243_bin.1	ERR1995243_bin.10	ERR1995243_bin.11	ERR1995243_bin.12	ERR1995243_bin.13	ERR1995243_bin.14	ERR1995243_bin.15	ERR1995243_bin.16	ERR1995243_bin.17	ERR1995243_bin.18	ERR1995243_bin.19	ERR1995243_bin.2	ERR1995243_bin.20	ERR1995243_bin.3	ERR1995243_bin.4	ERR1995243_bin.5	ERR1995243_bin.6	ERR1995243_bin.7	ERR1995243_bin.8	ERR1995243_bin.9
ko00010	Glycolysis / Gluconeogenesis	53	58	67	55	63	55	63	61	67	77	57	54	54	70	64	53	62	56	56	60
ko00020	Citrate cycle (TCA cycle)	19	36	38	41	38	34	35	37	39	50	38	24	35	40	38	18	37	33	36	40
ko00030	Pentose phosphate pathway	43	43	58	46	55	52	57	54	62	70	47	47	56	65	56	41	56	51	45	53
ko00040	Pentose and glucuronate interconversions	28	34	45	47	44	26	51	46	58	59	45	27	41	59	47	36	39	29	32	48
ko00051	Fructose and mannose metabolism	37	53	55	55	54	54	61	47	79	84	47	45	48	80	51	42	65	43	44	56
ko00052	Galactose metabolism	24	26	39	33	39	36	46	37	51	54	30	37	37	51	33	32	49	27	36	36
ko00053	Ascorbate and aldarate metabolism	17	25	30	26	26	23	27	26	36	37	28	20	29	37	27	20	27	26	25	31
ko00061	Fatty acid biosynthesis	7	22	26	26	22	25	22	25	26	27	25	25	15	28	24	10	20	20	25	23
ko00062	Fatty acid elongation	1	4	1	1	1	1	2	1	3	5	2	2	1	5	5	2	3	3	4	4
ko00071	Fatty acid degradation	13	28	17	29	13	22	16	18	31	33	17	26	14	34	30	12	14	22	31	28
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	1	1	2	2	2	1	2	2	2	3	2	2	2	3	2	2	2	2	2	2
ko00120	Primary bile acid biosynthesis	0	2	1	1	1	0	1	1	3	2	0	0	2	4	4	1	2	0	2	3
ko00121	Secondary bile acid biosynthesis	0	2	1	2	1	2	0	1	3	2	0	2	1	3	3	1	1	2	3	3
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	15	22	32	30	26	32	23	27	33	39	29	25	25	32	26	12	30	29	29	30
ko00140	Steroid hormone biosynthesis	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4
ko00190	Oxidative phosphorylation	4	4	4	6	4	6	4	4	4	12	5	2	4	3	4	2	4	4	2	5
